legislatura,gruppoParlamentare,count
costituente,COMITATO DIRETTIVO,0
costituente,CONSIGLIERE,0
costituente,DELEGATO D'AULA,0
costituente,MEMBRO DEL C.D.,33
costituente,PORTAVOCE,0
costituente,PRESIDENTE,20
costituente,PRESIDENTE - PORTAVOCE,0
costituente,PRESIDENTE - PROTEMPORE,0
costituente,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,0
costituente,RAPPRESENTANTE PROVVISORIO,0
costituente,SEGRETARIO,18
costituente,SEGRETARIO AMM.,0
costituente,SEGRETARIO D'AULA,0
costituente,SEGRETARIO ORGANIZZATIVO,0
costituente,TESORIERE,0
costituente,VICEPRES. VICARIO,0
costituente,VICEPRES. VICARIO - PORTAVOCE,0
costituente,VICEPRESIDENTE,16
costituente,VICESEGRETARIO,1
costituente,VICETESORIERE,0
1,COMITATO DIRETTIVO,0
1,CONSIGLIERE,1
1,DELEGATO D'AULA,0
1,MEMBRO DEL C.D.,54
1,PORTAVOCE,0
1,PRESIDENTE,13
1,PRESIDENTE - PORTAVOCE,0
1,PRESIDENTE - PROTEMPORE,0
1,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,0
1,RAPPRESENTANTE PROVVISORIO,0
1,SEGRETARIO,11
1,SEGRETARIO AMM.,0
1,SEGRETARIO D'AULA,0
1,SEGRETARIO ORGANIZZATIVO,0
1,TESORIERE,0
1,VICEPRES. VICARIO,0
1,VICEPRES. VICARIO - PORTAVOCE,0
1,VICEPRESIDENTE,13
1,VICESEGRETARIO,1
1,VICETESORIERE,0
2,COMITATO DIRETTIVO,0
2,CONSIGLIERE,0
2,DELEGATO D'AULA,0
2,MEMBRO DEL C.D.,90
2,PORTAVOCE,0
2,PRESIDENTE,12
2,PRESIDENTE - PORTAVOCE,0
2,PRESIDENTE - PROTEMPORE,0
2,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,0
2,RAPPRESENTANTE PROVVISORIO,0
2,SEGRETARIO,15
2,SEGRETARIO AMM.,0
2,SEGRETARIO D'AULA,0
