Persona,legislatura,graduated
Marisa_Bonfatti_Paini,Legislatura 10,
Natia_Mammone,Legislatura 10,
Elena_Donazzan,Legislatura 15,
Roberta_Pinto,Legislatura 10,
Daniela_Romani,Legislatura 10,
Maria_Galli,Legislatura 12,
Anna_Maria_De_Luca,Legislatura 13,
Ida_Matarazzo,Legislatura 2,
Patrizia_Arnaboldi,Legislatura 10,
Renata_Marchionni_Zanchi,Legislatura 2,
Francesca_Gerardi,Legislatura 18,
Olga_Giannini,Legislatura 1,
Marilena_Parenti,Legislatura 16,
Cristina_Bevilacqua,Legislatura 10,
Veronica_Giannone,Legislatura 18,no
Leda_Colombini,Legislatura 10,no
Leda_Colombini,Legislatura 9,no
Giuseppina_Bertone,Legislatura 10,no
Michela_Vittoria_Brambilla,Legislatura 16,no
Michela_Vittoria_Brambilla,Legislatura 17,no
Michela_Vittoria_Brambilla,Legislatura 18,no
Michela_Vittoria_Brambilla,Legislatura 19,no
Chiara_Colosimo,Legislatura 19,no
Anna_Lucia_Lisa_Pannarale,Legislatura 17,no
Vittoria_Titomanlio,Legislatura ,no
Vittoria_Titomanlio,Legislatura 1,no
Vittoria_Titomanlio,Legislatura 2,no
Vittoria_Titomanlio,Legislatura 3,no
Vittoria_Titomanlio,Legislatura 4,no
Romana_Bianchi,Legislatura 10,no
Romana_Bianchi,Legislatura 7,no
Romana_Bianchi,Legislatura 8,no
Romana_Bianchi,Legislatura 9,no
Carla_Rocchi,Legislatura 14,no
Maria_Antonietta_Sartori,Legislatura 11,no
Maria_Adelaide_Aglietta,Legislatura 10,no
Maria_Adelaide_Aglietta,Legislatura 7,no
Maria_Adelaide_Aglietta,Legislatura 8,no
Maria_Adelaide_Aglietta,Legislatura 9,no
Angela_Francese,Legislatura 10,no
Angela_Francese,Legislatura 8,no
Angela_Francese,Legislatura 9,no
Rossella_Artioli,Legislatura 10,no
Rossella_Artioli,Legislatura 11,no
Rossella_Artioli,Legislatura 9,no
Maria_Teresa_Capecchi,Legislatura 10,no
Maria_Teresa_Capecchi,Legislatura 9,no
Giovanna_Filippini,Legislatura 10,no
Giovanna_Filippini,Legislatura 9,no
Natalia_Levi,Legislatura 10,no
Natalia_Levi,Legislatura 9,no
Anna_Mainardi_Fava,Legislatura 10,no
Anna_Mainardi_Fava,Legislatura 9,no
Teresa_Migliasso,Legislatura 10,no
Teresa_Migliasso,Legislatura 9,no
Rosanna_Minozzi,Legislatura 10,no
Rosanna_Minozzi,Legislatura 9,no
Nanda_Montanari_Fornari,Legislatura 10,no
Nanda_Montanari_Fornari,Legislatura 9,no
Anna_Maria_Pedrazzi,Legislatura 10,no
Anna_Maria_Pedrazzi,Legislatura 9,no
Neide_Umidi,Legislatura 10,no
Neide_Umidi,Legislatura 9,no
Roberta_Breda,Legislatura 10,no
Roberta_Breda,Legislatura 11,no
Roberta_Breda,Legislatura 9,no
Elena_Montecchi,Legislatura 10,no
Elena_Montecchi,Legislatura 11,no
Elena_Montecchi,Legislatura 12,no
Elena_Montecchi,Legislatura 13,no
Elena_Montecchi,Legislatura 14,no
Elena_Montecchi,Legislatura 9,no
Liliana_Albertini,Legislatura 10,no
Liliana_Albertini,Legislatura 9,no
Elisabetta_Di_Prisco,Legislatura 10,no
Elisabetta_Di_Prisco,Legislatura 11,no
Anna_Donati,Legislatura 10,no
Rosa_Filippini,Legislatura 10,no
Rosa_Filippini,Legislatura 11,no
Marina_Sereni,Legislatura 14,no
Marina_Sereni,Legislatura 15,no
Marina_Sereni,Legislatura 16,no
Marina_Sereni,Legislatura 17,no
Rosella_Ottone,Legislatura 14,no
Rosella_Ottone,Legislatura 15,no
Lorena_Milanato,Legislatura 14,no
Lorena_Milanato,Legislatura 15,no
Lorena_Milanato,Legislatura 16,no
Lorena_Milanato,Legislatura 17,no
Lorena_Milanato,Legislatura 18,no
Viviana_Beccalossi,Legislatura 16,no
Viviana_Beccalossi,Legislatura 14,no
Olga_Di_Serio,Legislatura 14,no
Olga_Di_Serio,Legislatura 15,no
Olga_Di_Serio,Legislatura 16,no
Margherita_Coluccini,Legislatura 14,no
Katia_Zanotti,Legislatura 14,no
Katia_Zanotti,Legislatura 15,no
Graziella_Mascia,Legislatura 14,no
Graziella_Mascia,Legislatura 15,no
Caterina_De_Simone,Legislatura 14,no
Caterina_De_Simone,Legislatura 15,no
Carla_Mazzuca,Legislatura 12,no
Carla_Mazzuca,Legislatura 14,no
Marilde_Provera,Legislatura 14,no
Marilde_Provera,Legislatura 15,no
Manuela_Di_Centa,Legislatura 15,no
Manuela_Di_Centa,Legislatura 16,no
Emilia_Grazia_De_Biasi,Legislatura 15,no
