Persona,legislatura,graduated
Domenico_Modugno,legislatura10,no
Giovanni_Donzelli,legislatura18,no
Giovanni_Donzelli,legislatura19,no
Stefano_Boco,legislatura15,no
Alberto_Monaci,legislatura10,no
Renzo_Pascolat,legislatura10,no
Paolo_Fontanelli,legislatura16,no
Paolo_Fontanelli,legislatura17,no
Giorgio_Airaudo,legislatura17,no
Virginio_Scotti,legislatura10,no
Ambrogio_Viviani,legislatura10,no
Nicola_Stumpo,legislatura17,no
Nicola_Stumpo,legislatura18,no
Nicola_Stumpo,legislatura19,no
Cesare_De_Piccoli,legislatura13,no
Cesare_De_Piccoli,legislatura15,no
Michele_Gubitosa,legislatura18,no
Michele_Gubitosa,legislatura19,no
Marco_Grimaldi,legislatura19,no
Giovanni_Vianello,legislatura18,no
Sergio_Vallotto,legislatura18,no
Alessandro_Morelli,legislatura18,no
Gianangelo_Bof,legislatura19,no
Mario_Ricci,legislatura01,no
Mario_Ricci,legislatura02,no
Mario_Ricci,legislatura15,no
Mario_Ricci,legislatura01,no
Mario_Ricci,legislatura02,no
Mario_Ricci,legislatura15,no
Achille_Rigamonti,legislatura02,no
Arturo_Rognoni,legislatura costituente,no
Gianfranco_Aliverti,legislatura06,no
Gianfranco_Aliverti,legislatura07,no
Gianfranco_Aliverti,legislatura08,no
Gianfranco_Aliverti,legislatura11,no
Paolo_Mario_Rossi,legislatura03,no
Paolo_Mario_Rossi,legislatura04,no
Armando_Sabatini,legislatura01,no
Armando_Sabatini,legislatura02,no
Armando_Sabatini,legislatura03,no
Armando_Sabatini,legislatura04,no
Dino_Saccenti,legislatura costituente,no
Dino_Saccenti,legislatura01,no
Dino_Saccenti,legislatura02,no
Raffaello_Salutari,legislatura03,no
Vito_Scarongella,legislatura03,no
Secondo_Tranquilli,legislatura costituente,no
Giovanni_Sodano,legislatura01,no
Giovanni_Sodano,legislatura02,no
Giovanni_Sodano,legislatura03,no
Odo_Spadazzi,legislatura02,no
Odo_Spadazzi,legislatura03,no
Achille_Stuani,legislatura01,no
Egidio_Sulotto,legislatura03,no
Egidio_Sulotto,legislatura04,no
Egidio_Sulotto,legislatura05,no
Paolo_Suraci,legislatura01,no
Leonildo_Tarozzi,legislatura01,no
Leonildo_Tarozzi,legislatura02,no
Mauro_Tognoni,legislatura02,no
Mauro_Tognoni,legislatura03,no
Mauro_Tognoni,legislatura04,no
Mauro_Tognoni,legislatura05,no
Giuseppe_Tudisco,legislatura01,no
Giuseppe_Botta,legislatura05,no
Giuseppe_Botta,legislatura06,no
Giuseppe_Botta,legislatura07,no
Giuseppe_Botta,legislatura08,no
Giuseppe_Botta,legislatura09,no
Giuseppe_Botta,legislatura10,no
Giuseppe_Botta,legislatura11,no
Carlo_Eugenio_Venegoni,legislatura01,no
Carlo_Eugenio_Venegoni,legislatura02,no
Carlo_Eugenio_Venegoni,legislatura03,no
Vittorino_Villani,legislatura02,no
Vittorino_Villani,legislatura04,no
Felice_Vischioni,legislatura costituente,no
Riccardo_Walter,legislatura01,no
Riccardo_Walter,legislatura02,no
Fulvio_Zamponi,legislatura02,no
Domenico_Leccisi,legislatura02,no
Domenico_Leccisi,legislatura03,no
Giuseppe_Latorre,legislatura01,no
Mario_Angelucci,legislatura01,no
Mario_Angelucci,legislatura02,no
Mario_Angelucci,legislatura03,no
Ennio_De_Biagi,legislatura02,no
Edoardo_D'onofrio,legislatura costituente,no
Edoardo_D'onofrio,legislatura02,no
Edoardo_D'onofrio,legislatura03,no
Edoardo_D'onofrio,legislatura04,no
Carlo_Farini,legislatura costituente,no
Carlo_Farini,legislatura01,no
Carlo_Farini,legislatura02,no
Bortolo_Eugenio_Fina,legislatura01,no
Bortolo_Eugenio_Fina,legislatura02,no
Dante_Bernamonti,legislatura costituente,no
Salvatore_Angelo_Gitti,legislatura02,no
Salvatore_Angelo_Gitti,legislatura03,no
Salvatore_Angelo_Gitti,legislatura04,no
Salvatore_Angelo_Gitti,legislatura05,no
Priamo_Bigiandi,legislatura01,no
Priamo_Bigiandi,legislatura02,no
Natale_Vasco_Jacoponi,legislatura01,no
Natale_Vasco_Jacoponi,legislatura02,no
Natale_Vasco_Jacoponi,legislatura03,no
Luciano_Magrini,legislatura costituente,no
Luigi_Zappelli,legislatura costituente,no
Luigi_Zappelli,legislatura01,no
Alcide_Pirazzi_Maffiola,legislatura01,no
Carlo_Cibotto,legislatura02,no
Carlo_Cibotto,legislatura03,no
Luigi_Vallone,legislatura costituente,no
Luigi_Vallone,legislatura01,no
Enrico_Minio,legislatura costituente,no
Enrico_Minio,legislatura04,no
Arturo_Burato,legislatura costituente,no
Arturo_Burato,legislatura01,no
Arturo_Burato,legislatura02,no
Verenin_Grazia,legislatura costituente,no
Verenin_Grazia,legislatura01,no
Alessandro_Scotti,legislatura costituente,no
Alessandro_Scotti,legislatura01,no
Alessandro_Scotti,legislatura02,no
Giulio_Pastore,legislatura costituente,no
Giulio_Pastore,legislatura01,no
Giulio_Pastore,legislatura02,no
Giulio_Pastore,legislatura03,no
Giulio_Pastore,legislatura04,no
Giulio_Pastore,legislatura05,no
Giovanni_Gasparoli,legislatura01,no
Pietro_Buffone,legislatura02,no
Pietro_Buffone,legislatura03,no
Pietro_Buffone,legislatura04,no
Pietro_Buffone,legislatura05,no
Pietro_Buffone,legislatura06,no
Gaetano_Invernizzi,legislatura01,no
Luciano_Cadeddu,legislatura18,no
Andrea_Giarrizzo,legislatura18,no
Bernardo_Marino,legislatura18,no
Luigi_Borghi,legislatura04,no
Luigi_Borghi,legislatura05,no
Luigi_Borghi,legislatura06,no
Giuseppe_Sacchi,legislatura04,no
Giuseppe_Sacchi,legislatura05,no
Carlo_Borra,legislatura04,no
Carlo_Borra,legislatura05,no
Carlo_Borra,legislatura06,no
Giovanni_Bortot,legislatura05,no
Giovanni_Bortot,legislatura06,no
Elvo_Tempia_Valenta,legislatura04,no
Elvo_Tempia_Valenta,legislatura05,no
Pietro_Valeggiani,legislatura04,no
Pietro_Valeggiani,legislatura05,no
Carlo_Bottari,legislatura04,no
Carlo_Bottari,legislatura05,no
Carlo_Bottari,legislatura06,no
Giuseppe_Avolio,legislatura03,no
Giuseppe_Avolio,legislatura04,no
Giuseppe_Avolio,legislatura05,no
Oddino_Bo,legislatura04,no
Oddino_Bo,legislatura05,no
Angelo_Cucchi,legislatura04,no
Angelo_Cucchi,legislatura05,no
Eliseo_Milani,legislatura05,no
Eliseo_Milani,legislatura07,no
Eliseo_Milani,legislatura08,no
Vittorio_Cecati,legislatura03,no
Vittorio_Cecati,legislatura05,no
Spartaco_Beragnoli,legislatura04,no
Spartaco_Beragnoli,legislatura05,no
Alfonso_Cerreti,legislatura03,no
Archimede_Taverna,legislatura04,no
Federico_Brini,legislatura06,no
Federico_Brini,legislatura07,no
Federico_Brini,legislatura08,no
Pietro_Ludovico_Vergani,legislatura05,no
Pietro_Bruschi,legislatura06,no
Aldo_Arzilli,legislatura05,no
Aldo_Arzilli,legislatura06,no
Giuseppe_Antonio_Bottaro,legislatura04,no
Giulio_Perugi,legislatura costituente,no
Filippo_Barattolo,legislatura01,no
Filippo_Barattolo,legislatura02,no
Pietro_Pressinotti,legislatura costituente,no
Matteo_Tonengo,legislatura01,no
Giuseppe_Babbi,legislatura01,no
Giuseppe_Babbi,legislatura03,no
Cesare_Curcio,legislatura02,no
Santo_Filippo_Neri_Semeraro,legislatura01,no
Santo_Filippo_Neri_Semeraro,legislatura02,no
Angelo_Priore,legislatura02,no
Olindo_Cremaschi,legislatura costituente,no
Olindo_Cremaschi,legislatura01,no
Olindo_Cremaschi,legislatura02,no
Alberto_Simonini,legislatura costituente,no
Alberto_Simonini,legislatura01,no
Alberto_Simonini,legislatura02,no
Alberto_Simonini,legislatura03,no
Giulio_Turchi,legislatura01,no
Giulio_Turchi,legislatura02,no
Vincenzo_Tieri,legislatura costituente,no
Piero_Malvestiti,legislatura costituente,no
Piero_Malvestiti,legislatura01,no
Piero_Malvestiti,legislatura02,no
Piero_Malvestiti,legislatura04,no
Renato_Tega,legislatura costituente,no
Ezio_Villani,legislatura costituente,no
Arnaldo_Azzi,legislatura costituente,no
Arnaldo_Azzi,legislatura01,no
Umberto_Sannicolo',legislatura01,no
Umberto_Sannicolo',legislatura03,no
Oreste_Bonomelli,legislatura costituente,no
Oreste_Bonomelli,legislatura02,no
Aldovino_Fora,legislatura01,no
Aldovino_Fora,legislatura02,no
Alfredo_Cotani,legislatura01,no
Antonio_Di_Donato,legislatura01,no
Bruto_Puccetti,legislatura01,no
Fiorenzo_Cimenti,legislatura costituente,no
Fiorenzo_Cimenti,legislatura01,no
Fernando_Santi,legislatura01,no
Fernando_Santi,legislatura02,no
Fernando_Santi,legislatura03,no
Fernando_Santi,legislatura04,no
Giuseppe_Ricci,legislatura costituente,no
Giuseppe_Ricci,legislatura01,no
Alberto_Consiglio,legislatura01,no
Quinto_Bucci,legislatura costituente,no
Guido_Mazzali,legislatura01,no
Guido_Mazzali,legislatura02,no
Guido_Mazzali,legislatura03,no
Emilio_Zannerini,legislatura costituente,no
Emilio_Zannerini,legislatura02,no
Pietro_Reali,legislatura01,no
Pietro_Reali,legislatura02,no
Otello_Magnani,legislatura02,no
Otello_Magnani,legislatura03,no
Celeste_Carlo_Negarville,legislatura costituente,no
Celeste_Carlo_Negarville,legislatura03,no
Vittorio_Ghidetti,legislatura costituente,no
Vittorio_Ghidetti,legislatura02,no
Luigi_Allegato,legislatura costituente,no
Luigi_Morelli,legislatura costituente,no
Luigi_Morelli,legislatura01,no
Luigi_Morelli,legislatura02,no
Antonio_Luigi_Lombardini,legislatura01,no
Federico_Torretta,legislatura01,no
Michele_Sala,legislatura01,no
Michele_Sala,legislatura02,no
Francesco_Saija,legislatura01,no
Pietro_Mentasti,legislatura costituente,no
Bruno_Castellarin,legislatura01,no
Bruno_Castellarin,legislatura02,no
Carlo_Repossi,legislatura01,no
Carlo_Repossi,legislatura02,no
Carlo_Repossi,legislatura03,no
Giordano_Pratolongo,legislatura costituente,no
Giordano_Pratolongo,legislatura01,no
Giuseppe_Dozza,legislatura costituente,no
Domenico_Ciufoli,legislatura01,no
Chiaffredo_Belliardi,legislatura01,no
Aldo_Maina,legislatura06,no
Piergiorgio_Allera,legislatura05,no
Piergiorgio_Allera,legislatura06,no
Giovanni_De_Lorenzo,legislatura05,no
Giovanni_De_Lorenzo,legislatura06,no
Alfredo_De_Polzer,legislatura04,no
Giuseppe_Terragni,legislatura03,no
Natale_Di_Piazza,legislatura03,no
Natale_Di_Piazza,legislatura04,no
Mario_Ottieri,legislatura03,no
Mario_Ottieri,legislatura04,no
Riccardo_Fabbri,legislatura03,no
Riccardo_Fabbri,legislatura04,no
Nicola_Fasano,legislatura03,no
Antonio_Caldoro,legislatura05,no
Antonio_Caldoro,legislatura06,no
Antonio_Caldoro,legislatura07,no
Antonio_Caldoro,legislatura08,no
Antonio_Caldoro,legislatura09,no
Gioacchino_Lauro,legislatura03,no
Gioacchino_Lauro,legislatura04,no
Gioacchino_Lauro,legislatura05,no
Giovanni_Arenella,legislatura03,no
Giovanni_Arenella,legislatura04,no
Giulio_Goehring,legislatura04,no
Roberto_Marmugi,legislatura05,no
Roberto_Marmugi,legislatura06,no
Alessandro_Canestrari,legislatura03,no
Alessandro_Canestrari,legislatura04,no
Alessandro_Canestrari,legislatura05,no
Alessandro_Canestrari,legislatura06,no
Michele_Capra,legislatura05,no
Michele_Capra,legislatura06,no
Giovanni_Oreste_Villa,legislatura03,no
Giuliano_De_Laurentiis,legislatura05,no
Giuliano_De_Laurentiis,legislatura06,no
Luciano_Romagnoli,legislatura03,no
Luciano_Romagnoli,legislatura04,no
Umberto_Zurlini,legislatura03,no
Umberto_Zurlini,legislatura05,no
Mauro_Silvano_Lombardi,legislatura05,no
Mauro_Silvano_Lombardi,legislatura06,no
Luigi_Castagno,legislatura03,no
Luigi_Zanoni,legislatura02,no
Carlo_Olmini,legislatura04,no
Carlo_Olmini,legislatura05,no
Amedeo_Rubeo,legislatura02,no
Amedeo_Rubeo,legislatura04,no
Paolo_Angelino,legislatura02,no
Paolo_Angelino,legislatura03,no
Paolo_Angelino,legislatura04,no
Giuseppe_Carra',legislatura06,no
Giuseppe_Carra',legislatura07,no
Giuseppe_Carra',legislatura08,no
Giuseppe_Balasso,legislatura05,no
Giuseppe_Balasso,legislatura06,no
Alessandro_Carri,legislatura06,no
Achille_Cruciani,legislatura03,no
Achille_Cruciani,legislatura04,no
Giulio_Montelatici,legislatura01,no
Giulio_Montelatici,legislatura02,no
Luigi_Grassi,legislatura01,no
Francesco_Verga,legislatura04,no
Francesco_Verga,legislatura05,no
Francesco_Verga,legislatura06,no
Giacomo_Calandrone,legislatura01,no
Giacomo_Calandrone,legislatura02,no
Gianfranco_Rocelli,legislatura06,no
Gianfranco_Rocelli,legislatura07,no
Gianfranco_Rocelli,legislatura08,no
Gianfranco_Rocelli,legislatura09,no
Gianfranco_Rocelli,legislatura10,no
Domenico_Mezzadra,legislatura costituente,no
Luigi_Pintor,legislatura05,no
Luigi_Pintor,legislatura10,no
Arnaldo_Zucchini,legislatura05,no
Renato_Bastianelli,legislatura04,no
Renato_Bastianelli,legislatura05,no
Renato_Bastianelli,legislatura06,no
Falco_Accame,legislatura07,no
Falco_Accame,legislatura08,no
Nicola_Adamo,legislatura07,no
Nicola_Adamo,legislatura08,no
Nicola_Adamo,legislatura15,no
Nicola_Adamo,legislatura07,no
Nicola_Adamo,legislatura08,no
Nicola_Adamo,legislatura15,no
Guido_Alborghetti,legislatura07,no
Guido_Alborghetti,legislatura08,no
Guido_Alborghetti,legislatura09,no
Guido_Alborghetti,legislatura10,no
Francesco_Alici,legislatura07,no
Francesco_Alici,legislatura08,no
Abdon_Alinovi,legislatura07,no
Abdon_Alinovi,legislatura08,no
Abdon_Alinovi,legislatura09,no
Abdon_Alinovi,legislatura10,no
Domenico_Amalfitano,legislatura07,no
Domenico_Amalfitano,legislatura08,no
Domenico_Amalfitano,legislatura09,no
Domenico_Amalfitano,legislatura10,no
Giuseppe_Amarante,legislatura07,no
Giuseppe_Amarante,legislatura08,no
Franco_Ambrogio,legislatura07,no
Franco_Ambrogio,legislatura08,no
Franco_Ambrogio,legislatura09,no
Cesare_Amici,legislatura07,no
Cesare_Amici,legislatura08,no
Gaetano_Angius,legislatura07,no
Aldo_Aniasi,legislatura07,no
Aldo_Aniasi,legislatura08,no
Aldo_Aniasi,legislatura09,no
Aldo_Aniasi,legislatura10,no
Aldo_Aniasi,legislatura11,no
Varese_Antoni,legislatura07,no
Varese_Antoni,legislatura08,no
Varese_Antoni,legislatura09,no
Moreno_Bambi,legislatura07,no
Moreno_Bambi,legislatura08,no
Moreno_Bambi,legislatura09,no
Arnaldo_Baracetti,legislatura07,no
Arnaldo_Baracetti,legislatura08,no
Arnaldo_Baracetti,legislatura09,no
Eriase_Belardi,legislatura07,no
Eriase_Belardi,legislatura08,no
Eriase_Belardi,legislatura09,no
Antonio_Bellocchio,legislatura07,no
Antonio_Bellocchio,legislatura08,no
Antonio_Bellocchio,legislatura09,no
Antonio_Bellocchio,legislatura10,no
Fausto_Bocchi,legislatura05,no
Fausto_Bocchi,legislatura07,no
Fausto_Bocchi,legislatura08,no
Fausto_Bocchi,legislatura09,no
Paolo_Pietro_Broccoli,legislatura07,no
Paolo_Pietro_Broccoli,legislatura08,no
Armando_Calaminici,legislatura07,no
Armando_Calaminici,legislatura08,no
Giovanni_Calice,legislatura07,no
Leo_Canullo,legislatura07,no
Leo_Canullo,legislatura08,no
Leo_Canullo,legislatura09,no
Francesco_Catanzariti,legislatura06,no
Natale_Carlotto,legislatura07,no
Natale_Carlotto,legislatura08,no
Natale_Carlotto,legislatura09,no
Pietro_Carmeno,legislatura07,no
Pietro_Carmeno,legislatura08,no
Giorgio_Casalino,legislatura07,no
Giorgio_Casalino,legislatura08,no
Benito_Cazora,legislatura07,no
Benito_Cazora,legislatura08,no
Benito_Cazora,legislatura09,no
Alberto_Cecchi,legislatura07,no
Alberto_Cecchi,legislatura08,no
Giovanni_Battista_Colurcio,legislatura07,no
Pietro_Conti,legislatura07,no
Pietro_Conti,legislatura08,no
Pietro_Conti,legislatura09,no
Salvatore_Corallo,legislatura07,no
Angelo_Gaetano_Cresco,legislatura07,no
Angelo_Gaetano_Cresco,legislatura08,no
Angelo_Gaetano_Cresco,legislatura09,no
Angelo_Gaetano_Cresco,legislatura10,no
Angelo_Gaetano_Cresco,legislatura11,no
Marte_Ferrari,legislatura07,no
Marte_Ferrari,legislatura08,no
Marte_Ferrari,legislatura09,no
Marte_Ferrari,legislatura10,no
Marte_Ferrari,legislatura11,no
Sergio_Ceravolo,legislatura05,no
Sergio_Ceravolo,legislatura06,no
Sergio_Ceravolo,legislatura07,no
Vincenzo_Gatto,legislatura03,no
Vincenzo_Gatto,legislatura04,no
Vincenzo_Gatto,legislatura05,no
Vincenzo_Gatto,legislatura07,no
Carlo_Cerri,legislatura06,no
Pasquale_Lamorte,legislatura07,no
Pasquale_Lamorte,legislatura08,no
Pasquale_Lamorte,legislatura09,no
Pasquale_Lamorte,legislatura10,no
Pasquale_Lamorte,legislatura11,no
Lucio_Magri,legislatura07,no
Lucio_Magri,legislatura08,no
Lucio_Magri,legislatura09,no
Lucio_Magri,legislatura10,no
Lucio_Magri,legislatura11,no
Manfredo_Manfredi,legislatura07,no
Manfredo_Manfredi,legislatura08,no
Manfredo_Manfredi,legislatura09,no
Manfredo_Manfredi,legislatura10,no
Manfredo_Manfredi,legislatura11,no
Mario_Martinelli,legislatura costituente,no
Mario_Martinelli,legislatura01,no
Mario_Martinelli,legislatura02,no
Mario_Martinelli,legislatura03,no
Mario_Martinelli,legislatura07,no
Gino_Cesaroni,legislatura05,no
Gino_Cesaroni,legislatura06,no
Silverio_Corvisieri,legislatura07,no
Silverio_Corvisieri,legislatura08,no
Silverio_Corvisieri,legislatura09,no
Mario_Cravedi,legislatura07,no
Mario_Cravedi,legislatura08,no
Emo_Danesi,legislatura07,no
Emo_Danesi,legislatura08,no
Francesco_Da_Prato,legislatura07,no
Francesco_Da_Prato,legislatura08,no
Mazarino_Marco_De_Petro,legislatura07,no
Adolfo_Facchini,legislatura07,no
Adolfo_Facchini,legislatura08,no
Giovanni_Fantaci,legislatura07,no
Guido_Fanti,legislatura07,no
Guido_Fanti,legislatura08,no
Nevio_Felicetti,legislatura07,no
Luciano_Forni,legislatura07,no
Salvatore_Forte,legislatura07,no
Salvatore_Forte,legislatura08,no
Giuseppe_Fortunato,legislatura07,no
Hugo_Gamper,legislatura07,no
Hugo_Gamper,legislatura08,no
Raffaele_Giuseppe_Carmelo_Giura_Longo,legislatura07,no
Raffaele_Giuseppe_Carmelo_Giura_Longo,legislatura08,no
Lelio_Grassucci,legislatura07,no
Lelio_Grassucci,legislatura08,no
Lelio_Grassucci,legislatura09,no
Gennaro_Guadagno,legislatura07,no
Enrico_Gualandi,legislatura07,no
Enrico_Gualandi,legislatura08,no
Enrico_Gualandi,legislatura09,no
Nazzareno_Guasso,legislatura07,no
Paolo_Guerrini,legislatura07,no
Paolo_Guerrini,legislatura09,no
Guido_Ianni,legislatura07,no
Guido_Ianni,legislatura08,no
Guido_Ianni,legislatura09,no
Salvatore_La_Rocca,legislatura07,no
Salvatore_La_Rocca,legislatura08,no
Pier_Giorgio_Licheri,legislatura07,no
Francesco_Lussignoli,legislatura07,no
Francesco_Lussignoli,legislatura08,no
Francesco_Lussignoli,legislatura09,no
Virginiangelo_Marabini,legislatura07,no
Virginiangelo_Marabini,legislatura08,no
Andrea_Margheri,legislatura07,no
Andrea_Margheri,legislatura08,no
Fiorenzo_Maroli,legislatura07,no
