Persona,legislatura,graduated
Domenico_Modugno,Legislatura 10,no
Giovanni_Donzelli,Legislatura 18,no
Giovanni_Donzelli,Legislatura 19,no
Stefano_Boco,Legislatura 15,no
Alberto_Monaci,Legislatura 10,no
Renzo_Pascolat,Legislatura 10,no
Paolo_Fontanelli,Legislatura 16,no
Paolo_Fontanelli,Legislatura 17,no
Giorgio_Airaudo,Legislatura 17,no
Virginio_Scotti,Legislatura 10,no
Ambrogio_Viviani,Legislatura 10,no
Nicola_Stumpo,Legislatura 17,no
Nicola_Stumpo,Legislatura 18,no
Nicola_Stumpo,Legislatura 19,no
Cesare_De_Piccoli,Legislatura 13,no
Cesare_De_Piccoli,Legislatura 15,no
Michele_Gubitosa,Legislatura 18,no
Michele_Gubitosa,Legislatura 19,no
Marco_Grimaldi,Legislatura 19,no
Giovanni_Vianello,Legislatura 18,no
Sergio_Vallotto,Legislatura 18,no
Alessandro_Morelli,Legislatura 18,no
Gianangelo_Bof,Legislatura 19,no
Mario_Ricci,Legislatura 1,no
Mario_Ricci,Legislatura 2,no
Mario_Ricci,Legislatura 15,no
Mario_Ricci,Legislatura 1,no
Mario_Ricci,Legislatura 2,no
Mario_Ricci,Legislatura 15,no
Achille_Rigamonti,Legislatura 2,no
Arturo_Rognoni,Legislatura Costituente,no
Gianfranco_Aliverti,Legislatura 6,no
Gianfranco_Aliverti,Legislatura 7,no
Gianfranco_Aliverti,Legislatura 8,no
Gianfranco_Aliverti,Legislatura 11,no
Paolo_Mario_Rossi,Legislatura 3,no
Paolo_Mario_Rossi,Legislatura 4,no
Armando_Sabatini,Legislatura 1,no
Armando_Sabatini,Legislatura 2,no
Armando_Sabatini,Legislatura 3,no
Armando_Sabatini,Legislatura 4,no
Dino_Saccenti,Legislatura Costituente,no
Dino_Saccenti,Legislatura 1,no
Dino_Saccenti,Legislatura 2,no
Raffaello_Salutari,Legislatura 3,no
Vito_Scarongella,Legislatura 3,no
Secondo_Tranquilli,Legislatura Costituente,no
Giovanni_Sodano,Legislatura 1,no
Giovanni_Sodano,Legislatura 2,no
Giovanni_Sodano,Legislatura 3,no
Odo_Spadazzi,Legislatura 2,no
Odo_Spadazzi,Legislatura 3,no
Achille_Stuani,Legislatura 1,no
Egidio_Sulotto,Legislatura 3,no
Egidio_Sulotto,Legislatura 4,no
Egidio_Sulotto,Legislatura 5,no
Paolo_Suraci,Legislatura 1,no
Leonildo_Tarozzi,Legislatura 1,no
Leonildo_Tarozzi,Legislatura 2,no
Mauro_Tognoni,Legislatura 2,no
Mauro_Tognoni,Legislatura 3,no
Mauro_Tognoni,Legislatura 4,no
Mauro_Tognoni,Legislatura 5,no
Giuseppe_Tudisco,Legislatura 1,no
Giuseppe_Botta,Legislatura 5,no
Giuseppe_Botta,Legislatura 6,no
Giuseppe_Botta,Legislatura 7,no
Giuseppe_Botta,Legislatura 8,no
Giuseppe_Botta,Legislatura 9,no
Giuseppe_Botta,Legislatura 10,no
Giuseppe_Botta,Legislatura 11,no
Carlo_Eugenio_Venegoni,Legislatura 1,no
Carlo_Eugenio_Venegoni,Legislatura 2,no
Carlo_Eugenio_Venegoni,Legislatura 3,no
Vittorino_Villani,Legislatura 2,no
Vittorino_Villani,Legislatura 4,no
Felice_Vischioni,Legislatura Costituente,no
Riccardo_Walter,Legislatura 1,no
Riccardo_Walter,Legislatura 2,no
Fulvio_Zamponi,Legislatura 2,no
Domenico_Leccisi,Legislatura 2,no
Domenico_Leccisi,Legislatura 3,no
Giuseppe_Latorre,Legislatura 1,no
Mario_Angelucci,Legislatura 1,no
Mario_Angelucci,Legislatura 2,no
Mario_Angelucci,Legislatura 3,no
Ennio_De_Biagi,Legislatura 2,no
Edoardo_D'onofrio,Legislatura Costituente,no
Edoardo_D'onofrio,Legislatura 2,no
Edoardo_D'onofrio,Legislatura 3,no
Edoardo_D'onofrio,Legislatura 4,no
Carlo_Farini,Legislatura Costituente,no
Carlo_Farini,Legislatura 1,no
Carlo_Farini,Legislatura 2,no
Bortolo_Eugenio_Fina,Legislatura 1,no
Bortolo_Eugenio_Fina,Legislatura 2,no
Dante_Bernamonti,Legislatura Costituente,no
Salvatore_Angelo_Gitti,Legislatura 2,no
Salvatore_Angelo_Gitti,Legislatura 3,no
Salvatore_Angelo_Gitti,Legislatura 4,no
Salvatore_Angelo_Gitti,Legislatura 5,no
Priamo_Bigiandi,Legislatura 1,no
Priamo_Bigiandi,Legislatura 2,no
Natale_Vasco_Jacoponi,Legislatura 1,no
Natale_Vasco_Jacoponi,Legislatura 2,no
Natale_Vasco_Jacoponi,Legislatura 3,no
Luciano_Magrini,Legislatura Costituente,no
Luigi_Zappelli,Legislatura Costituente,no
Luigi_Zappelli,Legislatura 1,no
Alcide_Pirazzi_Maffiola,Legislatura 1,no
Carlo_Cibotto,Legislatura 2,no
Carlo_Cibotto,Legislatura 3,no
Luigi_Vallone,Legislatura Costituente,no
Luigi_Vallone,Legislatura 1,no
Enrico_Minio,Legislatura Costituente,no
Enrico_Minio,Legislatura 4,no
Arturo_Burato,Legislatura Costituente,no
Arturo_Burato,Legislatura 1,no
Arturo_Burato,Legislatura 2,no
Verenin_Grazia,Legislatura Costituente,no
Verenin_Grazia,Legislatura 1,no
Alessandro_Scotti,Legislatura Costituente,no
Alessandro_Scotti,Legislatura 1,no
Alessandro_Scotti,Legislatura 2,no
Giulio_Pastore,Legislatura Costituente,no
Giulio_Pastore,Legislatura 1,no
Giulio_Pastore,Legislatura 2,no
Giulio_Pastore,Legislatura 3,no
Giulio_Pastore,Legislatura 4,no
Giulio_Pastore,Legislatura 5,no
Giovanni_Gasparoli,Legislatura 1,no
Pietro_Buffone,Legislatura 2,no
Pietro_Buffone,Legislatura 3,no
Pietro_Buffone,Legislatura 4,no
Pietro_Buffone,Legislatura 5,no
Pietro_Buffone,Legislatura 6,no
Gaetano_Invernizzi,Legislatura 1,no
Luciano_Cadeddu,Legislatura 18,no
Andrea_Giarrizzo,Legislatura 18,no
Bernardo_Marino,Legislatura 18,no
Luigi_Borghi,Legislatura 4,no
Luigi_Borghi,Legislatura 5,no
Luigi_Borghi,Legislatura 6,no
Giuseppe_Sacchi,Legislatura 4,no
Giuseppe_Sacchi,Legislatura 5,no
Carlo_Borra,Legislatura 4,no
Carlo_Borra,Legislatura 5,no
Carlo_Borra,Legislatura 6,no
Giovanni_Bortot,Legislatura 5,no
Giovanni_Bortot,Legislatura 6,no
Elvo_Tempia_Valenta,Legislatura 4,no
Elvo_Tempia_Valenta,Legislatura 5,no
Pietro_Valeggiani,Legislatura 4,no
Pietro_Valeggiani,Legislatura 5,no
Carlo_Bottari,Legislatura 4,no
Carlo_Bottari,Legislatura 5,no
Carlo_Bottari,Legislatura 6,no
Giuseppe_Avolio,Legislatura 3,no
Giuseppe_Avolio,Legislatura 4,no
Giuseppe_Avolio,Legislatura 5,no
Oddino_Bo,Legislatura 4,no
Oddino_Bo,Legislatura 5,no
Angelo_Cucchi,Legislatura 4,no
Angelo_Cucchi,Legislatura 5,no
Eliseo_Milani,Legislatura 5,no
Eliseo_Milani,Legislatura 7,no
Eliseo_Milani,Legislatura 8,no
Vittorio_Cecati,Legislatura 3,no
Vittorio_Cecati,Legislatura 5,no
Spartaco_Beragnoli,Legislatura 4,no
Spartaco_Beragnoli,Legislatura 5,no
Alfonso_Cerreti,Legislatura 3,no
Archimede_Taverna,Legislatura 4,no
Federico_Brini,Legislatura 6,no
Federico_Brini,Legislatura 7,no
Federico_Brini,Legislatura 8,no
Pietro_Ludovico_Vergani,Legislatura 5,no
Pietro_Bruschi,Legislatura 6,no
Aldo_Arzilli,Legislatura 5,no
Aldo_Arzilli,Legislatura 6,no
Giuseppe_Antonio_Bottaro,Legislatura 4,no
Giulio_Perugi,Legislatura Costituente,no
Filippo_Barattolo,Legislatura 1,no
Filippo_Barattolo,Legislatura 2,no
Pietro_Pressinotti,Legislatura Costituente,no
Matteo_Tonengo,Legislatura 1,no
Giuseppe_Babbi,Legislatura 1,no
Giuseppe_Babbi,Legislatura 3,no
Cesare_Curcio,Legislatura 2,no
Santo_Filippo_Neri_Semeraro,Legislatura 1,no
Santo_Filippo_Neri_Semeraro,Legislatura 2,no
Angelo_Priore,Legislatura 2,no
Olindo_Cremaschi,Legislatura Costituente,no
Olindo_Cremaschi,Legislatura 1,no
Olindo_Cremaschi,Legislatura 2,no
Alberto_Simonini,Legislatura Costituente,no
Alberto_Simonini,Legislatura 1,no
Alberto_Simonini,Legislatura 2,no
Alberto_Simonini,Legislatura 3,no
Giulio_Turchi,Legislatura 1,no
Giulio_Turchi,Legislatura 2,no
Vincenzo_Tieri,Legislatura Costituente,no
Piero_Malvestiti,Legislatura Costituente,no
Piero_Malvestiti,Legislatura 1,no
Piero_Malvestiti,Legislatura 2,no
Piero_Malvestiti,Legislatura 4,no
Renato_Tega,Legislatura Costituente,no
Ezio_Villani,Legislatura Costituente,no
Arnaldo_Azzi,Legislatura Costituente,no
Arnaldo_Azzi,Legislatura 1,no
Umberto_Sannicolo',Legislatura 1,no
Umberto_Sannicolo',Legislatura 3,no
Oreste_Bonomelli,Legislatura Costituente,no
Oreste_Bonomelli,Legislatura 2,no
Aldovino_Fora,Legislatura 1,no
Aldovino_Fora,Legislatura 2,no
Alfredo_Cotani,Legislatura 1,no
Antonio_Di_Donato,Legislatura 1,no
Bruto_Puccetti,Legislatura 1,no
Fiorenzo_Cimenti,Legislatura Costituente,no
Fiorenzo_Cimenti,Legislatura 1,no
Fernando_Santi,Legislatura 1,no
Fernando_Santi,Legislatura 2,no
Fernando_Santi,Legislatura 3,no
Fernando_Santi,Legislatura 4,no
Giuseppe_Ricci,Legislatura Costituente,no
Giuseppe_Ricci,Legislatura 1,no
Alberto_Consiglio,Legislatura 1,no
Quinto_Bucci,Legislatura Costituente,no
Guido_Mazzali,Legislatura 1,no
Guido_Mazzali,Legislatura 2,no
Guido_Mazzali,Legislatura 3,no
Emilio_Zannerini,Legislatura Costituente,no
Emilio_Zannerini,Legislatura 2,no
Pietro_Reali,Legislatura 1,no
Pietro_Reali,Legislatura 2,no
Otello_Magnani,Legislatura 2,no
Otello_Magnani,Legislatura 3,no
Celeste_Carlo_Negarville,Legislatura Costituente,no
Celeste_Carlo_Negarville,Legislatura 3,no
Vittorio_Ghidetti,Legislatura Costituente,no
Vittorio_Ghidetti,Legislatura 2,no
Luigi_Allegato,Legislatura Costituente,no
Luigi_Morelli,Legislatura Costituente,no
Luigi_Morelli,Legislatura 1,no
Luigi_Morelli,Legislatura 2,no
Antonio_Luigi_Lombardini,Legislatura 1,no
Federico_Torretta,Legislatura 1,no
Michele_Sala,Legislatura 1,no
Michele_Sala,Legislatura 2,no
Francesco_Saija,Legislatura 1,no
Pietro_Mentasti,Legislatura Costituente,no
Bruno_Castellarin,Legislatura 1,no
Bruno_Castellarin,Legislatura 2,no
Carlo_Repossi,Legislatura 1,no
Carlo_Repossi,Legislatura 2,no
Carlo_Repossi,Legislatura 3,no
Giordano_Pratolongo,Legislatura Costituente,no
Giordano_Pratolongo,Legislatura 1,no
Giuseppe_Dozza,Legislatura Costituente,no
Domenico_Ciufoli,Legislatura 1,no
Chiaffredo_Belliardi,Legislatura 1,no
Aldo_Maina,Legislatura 6,no
Piergiorgio_Allera,Legislatura 5,no
Piergiorgio_Allera,Legislatura 6,no
Giovanni_De_Lorenzo,Legislatura 5,no
Giovanni_De_Lorenzo,Legislatura 6,no
Alfredo_De_Polzer,Legislatura 4,no
Giuseppe_Terragni,Legislatura 3,no
Natale_Di_Piazza,Legislatura 3,no
Natale_Di_Piazza,Legislatura 4,no
Mario_Ottieri,Legislatura 3,no
Mario_Ottieri,Legislatura 4,no
Riccardo_Fabbri,Legislatura 3,no
Riccardo_Fabbri,Legislatura 4,no
Nicola_Fasano,Legislatura 3,no
Antonio_Caldoro,Legislatura 5,no
Antonio_Caldoro,Legislatura 6,no
Antonio_Caldoro,Legislatura 7,no
Antonio_Caldoro,Legislatura 8,no
Antonio_Caldoro,Legislatura 9,no
Gioacchino_Lauro,Legislatura 3,no
Gioacchino_Lauro,Legislatura 4,no
Gioacchino_Lauro,Legislatura 5,no
Giovanni_Arenella,Legislatura 3,no
Giovanni_Arenella,Legislatura 4,no
Giulio_Goehring,Legislatura 4,no
Roberto_Marmugi,Legislatura 5,no
Roberto_Marmugi,Legislatura 6,no
Alessandro_Canestrari,Legislatura 3,no
Alessandro_Canestrari,Legislatura 4,no
Alessandro_Canestrari,Legislatura 5,no
Alessandro_Canestrari,Legislatura 6,no
Michele_Capra,Legislatura 5,no
Michele_Capra,Legislatura 6,no
Giovanni_Oreste_Villa,Legislatura 3,no
Giuliano_De_Laurentiis,Legislatura 5,no
Giuliano_De_Laurentiis,Legislatura 6,no
Luciano_Romagnoli,Legislatura 3,no
Luciano_Romagnoli,Legislatura 4,no
Umberto_Zurlini,Legislatura 3,no
Umberto_Zurlini,Legislatura 5,no
Mauro_Silvano_Lombardi,Legislatura 5,no
Mauro_Silvano_Lombardi,Legislatura 6,no
Luigi_Castagno,Legislatura 3,no
Luigi_Zanoni,Legislatura 2,no
Carlo_Olmini,Legislatura 4,no
Carlo_Olmini,Legislatura 5,no
Amedeo_Rubeo,Legislatura 2,no
Amedeo_Rubeo,Legislatura 4,no
Paolo_Angelino,Legislatura 2,no
Paolo_Angelino,Legislatura 3,no
Paolo_Angelino,Legislatura 4,no
Giuseppe_Carra',Legislatura 6,no
Giuseppe_Carra',Legislatura 7,no
Giuseppe_Carra',Legislatura 8,no
Giuseppe_Balasso,Legislatura 5,no
Giuseppe_Balasso,Legislatura 6,no
Alessandro_Carri,Legislatura 6,no
Achille_Cruciani,Legislatura 3,no
Achille_Cruciani,Legislatura 4,no
Giulio_Montelatici,Legislatura 1,no
Giulio_Montelatici,Legislatura 2,no
Luigi_Grassi,Legislatura 1,no
Francesco_Verga,Legislatura 4,no
Francesco_Verga,Legislatura 5,no
Francesco_Verga,Legislatura 6,no
Giacomo_Calandrone,Legislatura 1,no
Giacomo_Calandrone,Legislatura 2,no
Gianfranco_Rocelli,Legislatura 6,no
Gianfranco_Rocelli,Legislatura 7,no
Gianfranco_Rocelli,Legislatura 8,no
Gianfranco_Rocelli,Legislatura 9,no
Gianfranco_Rocelli,Legislatura 10,no
Domenico_Mezzadra,Legislatura Costituente,no
Luigi_Pintor,Legislatura 5,no
Luigi_Pintor,Legislatura 10,no
Arnaldo_Zucchini,Legislatura 5,no
Renato_Bastianelli,Legislatura 4,no
Renato_Bastianelli,Legislatura 5,no
Renato_Bastianelli,Legislatura 6,no
Falco_Accame,Legislatura 7,no
Falco_Accame,Legislatura 8,no
Nicola_Adamo,Legislatura 7,no
Nicola_Adamo,Legislatura 8,no
Nicola_Adamo,Legislatura 15,no
Nicola_Adamo,Legislatura 7,no
Nicola_Adamo,Legislatura 8,no
Nicola_Adamo,Legislatura 15,no
Guido_Alborghetti,Legislatura 7,no
Guido_Alborghetti,Legislatura 8,no
Guido_Alborghetti,Legislatura 9,no
Guido_Alborghetti,Legislatura 10,no
Francesco_Alici,Legislatura 7,no
Francesco_Alici,Legislatura 8,no
Abdon_Alinovi,Legislatura 7,no
Abdon_Alinovi,Legislatura 8,no
Abdon_Alinovi,Legislatura 9,no
Abdon_Alinovi,Legislatura 10,no
Domenico_Amalfitano,Legislatura 7,no
Domenico_Amalfitano,Legislatura 8,no
Domenico_Amalfitano,Legislatura 9,no
Domenico_Amalfitano,Legislatura 10,no
Giuseppe_Amarante,Legislatura 7,no
Giuseppe_Amarante,Legislatura 8,no
Franco_Ambrogio,Legislatura 7,no
Franco_Ambrogio,Legislatura 8,no
Franco_Ambrogio,Legislatura 9,no
Cesare_Amici,Legislatura 7,no
Cesare_Amici,Legislatura 8,no
Gaetano_Angius,Legislatura 7,no
Aldo_Aniasi,Legislatura 7,no
Aldo_Aniasi,Legislatura 8,no
Aldo_Aniasi,Legislatura 9,no
Aldo_Aniasi,Legislatura 10,no
Aldo_Aniasi,Legislatura 11,no
Varese_Antoni,Legislatura 7,no
Varese_Antoni,Legislatura 8,no
Varese_Antoni,Legislatura 9,no
Moreno_Bambi,Legislatura 7,no
Moreno_Bambi,Legislatura 8,no
Moreno_Bambi,Legislatura 9,no
Arnaldo_Baracetti,Legislatura 7,no
Arnaldo_Baracetti,Legislatura 8,no
Arnaldo_Baracetti,Legislatura 9,no
Eriase_Belardi,Legislatura 7,no
Eriase_Belardi,Legislatura 8,no
Eriase_Belardi,Legislatura 9,no
Antonio_Bellocchio,Legislatura 7,no
Antonio_Bellocchio,Legislatura 8,no
Antonio_Bellocchio,Legislatura 9,no
Antonio_Bellocchio,Legislatura 10,no
Fausto_Bocchi,Legislatura 5,no
Fausto_Bocchi,Legislatura 7,no
Fausto_Bocchi,Legislatura 8,no
Fausto_Bocchi,Legislatura 9,no
Paolo_Pietro_Broccoli,Legislatura 7,no
Paolo_Pietro_Broccoli,Legislatura 8,no
Armando_Calaminici,Legislatura 7,no
Armando_Calaminici,Legislatura 8,no
Giovanni_Calice,Legislatura 7,no
Leo_Canullo,Legislatura 7,no
Leo_Canullo,Legislatura 8,no
Leo_Canullo,Legislatura 9,no
Francesco_Catanzariti,Legislatura 6,no
Natale_Carlotto,Legislatura 7,no
Natale_Carlotto,Legislatura 8,no
Natale_Carlotto,Legislatura 9,no
Pietro_Carmeno,Legislatura 7,no
Pietro_Carmeno,Legislatura 8,no
Giorgio_Casalino,Legislatura 7,no
Giorgio_Casalino,Legislatura 8,no
Benito_Cazora,Legislatura 7,no
Benito_Cazora,Legislatura 8,no
Benito_Cazora,Legislatura 9,no
Alberto_Cecchi,Legislatura 7,no
Alberto_Cecchi,Legislatura 8,no
Giovanni_Battista_Colurcio,Legislatura 7,no
Pietro_Conti,Legislatura 7,no
Pietro_Conti,Legislatura 8,no
Pietro_Conti,Legislatura 9,no
Salvatore_Corallo,Legislatura 7,no
Angelo_Gaetano_Cresco,Legislatura 7,no
Angelo_Gaetano_Cresco,Legislatura 8,no
Angelo_Gaetano_Cresco,Legislatura 9,no
Angelo_Gaetano_Cresco,Legislatura 10,no
Angelo_Gaetano_Cresco,Legislatura 11,no
Marte_Ferrari,Legislatura 7,no
Marte_Ferrari,Legislatura 8,no
Marte_Ferrari,Legislatura 9,no
Marte_Ferrari,Legislatura 10,no
Marte_Ferrari,Legislatura 11,no
Sergio_Ceravolo,Legislatura 5,no
Sergio_Ceravolo,Legislatura 6,no
Sergio_Ceravolo,Legislatura 7,no
Vincenzo_Gatto,Legislatura 3,no
Vincenzo_Gatto,Legislatura 4,no
Vincenzo_Gatto,Legislatura 5,no
Vincenzo_Gatto,Legislatura 7,no
Carlo_Cerri,Legislatura 6,no
Pasquale_Lamorte,Legislatura 7,no
Pasquale_Lamorte,Legislatura 8,no
Pasquale_Lamorte,Legislatura 9,no
Pasquale_Lamorte,Legislatura 10,no
Pasquale_Lamorte,Legislatura 11,no
Lucio_Magri,Legislatura 7,no
Lucio_Magri,Legislatura 8,no
Lucio_Magri,Legislatura 9,no
Lucio_Magri,Legislatura 10,no
Lucio_Magri,Legislatura 11,no
Manfredo_Manfredi,Legislatura 7,no
Manfredo_Manfredi,Legislatura 8,no
Manfredo_Manfredi,Legislatura 9,no
Manfredo_Manfredi,Legislatura 10,no
Manfredo_Manfredi,Legislatura 11,no
Mario_Martinelli,Legislatura Costituente,no
Mario_Martinelli,Legislatura 1,no
Mario_Martinelli,Legislatura 2,no
Mario_Martinelli,Legislatura 3,no
Mario_Martinelli,Legislatura 7,no
Gino_Cesaroni,Legislatura 5,no
Gino_Cesaroni,Legislatura 6,no
Silverio_Corvisieri,Legislatura 7,no
Silverio_Corvisieri,Legislatura 8,no
