legislatura,incarico,conto
legislatura costituente,SEGRETARIO,3
legislatura1,SEGRETARIO,8
legislatura2,SEGRETARIO,8
legislatura2,VICEPRESIDENTE,1
legislatura3,SEGRETARIO,5
legislatura3,VICEPRESIDENTE,1
legislatura4,VICEPRESIDENTE,3
legislatura4,SEGRETARIO,4
legislatura5,SEGRETARIO,5
legislatura5,VICEPRESIDENTE,1
legislatura6,SEGRETARIO,4
legislatura6,VICEPRESIDENTE,2
legislatura7,VICEPRESIDENTE,4
legislatura7,SEGRETARIO,14
legislatura7,PRESIDENTE,2
legislatura8,SEGRETARIO,12
legislatura8,VICEPRESIDENTE,4
legislatura8,PRESIDENTE,3
legislatura9,VICEPRESIDENTE,5
legislatura9,SEGRETARIO,9
legislatura9,PRESIDENTE,2
legislatura10,SEGRETARIO,12
legislatura10,VICEPRESIDENTE,11
legislatura10,PRESIDENTE,2
legislatura11,SEGRETARIO,9
legislatura11,VICEPRESIDENTE,6
legislatura11,QUESTORE,1
legislatura11,PRESIDENTE,2
legislatura12,SEGRETARIO,13
legislatura12,VICEPRESIDENTE,6
legislatura12,PRESIDENTE,5
legislatura12,QUESTORE,1
legislatura13,SEGRETARIO,12
legislatura13,PRESIDENTE,7
legislatura13,VICEPRESIDENTE,5
legislatura13,QUESTORE,1
legislatura14,CAPOGRUPPO,24
legislatura14,SEGRETARIO,19
legislatura14,VICEPRESIDENTE,4
legislatura14,PRESIDENTE,2
legislatura14,QUESTORE,1
legislatura14,DELEGATO ALLA PRESIDENZA,1
legislatura15,VICEPRESIDENTE,10
legislatura15,CAPOGRUPPO,33
legislatura15,SEGRETARIO,21
legislatura15,PRESIDENTE,9
legislatura16,PRESIDENTE,12
legislatura16,CAPOGRUPPO,30
legislatura16,VICEPRESIDENTE,13
legislatura16,SEGRETARIO,27
legislatura16,DELEGATO AL COORDINAMENTO DELLE ATTIVITA',1
legislatura17,PRESIDENTE,14
legislatura17,VICEPRESIDENTE,31
legislatura17,CAPOGRUPPO,78
legislatura17,SEGRETARIO,41
legislatura18,CAPOGRUPPO,110
legislatura18,SEGRETARIO,40
legislatura18,PRESIDENTE,22
legislatura18,VICEPRESIDENTE,33
legislatura19,SEGRETARIO,19
legislatura19,CAPOGRUPPO,47
legislatura19,VICEPRESIDENTE,22
legislatura19,PRESIDENTE,5
legislatura19,COORDINATORE INELEGGIBILITA' E DECADENZE,1
