Ministero,Numero di donne ministro
Ministro degli Affari esteri e della cooperazione internazionale,1
Ministro della Difesa,3
Ministro della Salute,5
Ministro per la Semplificazione e la pubblica amministrazione,2
Ministro degli Affari esteri,2
Ministro per le Riforme costituzionali e i rapporti con il Parlamento,1
"Ministro dell'Istruzione, dell'università e della ricerca",4
Ministro dello Sviluppo economico,1
Ministro senza portafoglio per gli affari regionali,1
Ministro senza portafoglio per gli affari regionali e per le autonomie,1
Vice Ministro dello Sviluppo economico,4
Ministro del Lavoro e della Previdenza Sociale,1
Ministro della Sanità,5
Ministro della Pubblica Istruzione,4
Ministro dei Beni culturali e ambientali,1
Ministro della Pubblica istruzione,2
Ministro senza Portafoglio,1
Ministro senza Portafoglio per gli Affari sociali,4
Ministro del Turismo e Spettacolo,1
Ministro senza Portafoglio per italiani all'estero e immigrazione,1
Ministro della Sanita',1
"Ministro per le Risorse agricole, Alimentari e Forestali",1
Ministro del Lavoro e della Previdenza sociale,2
Ministro senza portafoglio per le Pari opportunità,6
Ministro senza portafoglio per gli Affari regionali,1
Ministro senza Portafoglio per gli Affari regionali,1
Ministro senza portafoglio per la Solidarietà sociale,3
Ministro senza Portafoglio per la Solidarietà sociale,1
Ministro dell'Interno,4
Ministro dei Beni e delle attività culturali,3
Ministro senza Portafoglio per le Politiche comunitarie,1
Ministro senza portafoglio per i Rapporti con il Parlamento,1
Ministro del Commercio internazionale,1
Ministro senza portafoglio per le Politiche europee,1
Ministro senza portafoglio,9
Ministro per gli Affari regionali e le autonomie locali,1
Vice Ministro degli Affari esteri,2
Vice Ministro dell'Istruzione,2
Vice Ministro della Pubblica istruzione,1
Ministro per i Diritti e le pari opportunità,1
Ministro delle Politiche per la famiglia,1
Ministro per le Politiche giovanili e le attività sportive,1
Ministro degli Affari Esteri,1
Ministro delle Politiche Agricole Alimentari e Forestali,1
Ministro della Giustizia,3
Ministro senza portafoglio per l'Integrazione,1
"Ministro dell'Istruzione, dell'Università e della Ricerca",1
"Ministro senza portafoglio per le Pari Opportunità, lo Sport e le Politiche Giovanili",1
Ministro dell'Ambiente e della tutela del territorio e del mare,1
"Ministro dell'istruzione, dell'università e della ricerca",1
Ministro senza portafoglio per le pari opportunità,1
Ministro senza portafoglio per le politiche per i giovani,1
Ministro senza portafoglio della gioventù,1
Ministro senza portafoglio per il Turismo,1
Ministro senza portafoglio per le politiche europee,1
Ministro del Lavoro e delle politiche sociali,2
Vice Ministro affari esteri,1
Vice Ministro del Lavoro e delle Politiche sociali,1
Ministro dell'Istruzione,1
Ministro delle Infrastrutture e dei trasporti,1
Ministro senza portafoglio per la pubblica amministrazione,1
"Ministro delle Politiche agricole alimentari, forestali e del turismo",1
Ministro senza portafoglio per le Pari opportunità e la famiglia,1
Ministro senza portafoglio per l'Innovazione tecnologica e la digitalizzazione,1
Ministro per la Pubblica amministrazione,1
Ministro per il Sud,1
Ministro per gli Affari regionali e le autonomie,2
Vice Ministro dell'Economia e delle finanze,2
Vice Ministro dell'Economia e le finanze,1
Viceministro agli Affari esteri e alla cooperazione internazionale,1
Ministro per le disabilità e la famiglia,1
Ministro per i Rapporti con il Parlamento,1
Ministro delle Politiche agricole alimentari e forestali,1
Vice Ministro degli Affari esteri e della cooperazione internazionale,3
Ministro per il Sud e la coesione territoriale,1
Ministro per le Politiche giovanili,1
Ministro per le Pari opportunità e la famiglia,1
Ministro per le Disabilità,1
Ministro dell'Università e della ricerca,1
Vice Ministro delle Infrastrutture e della mobilità sostenibili,1
