partito,count
MOVIMENTO 5 STELLE,124
MISTO,151
CENTRO DEMOCRATICO,24
PARTITO COMUNISTA ITALIANO,182
PARTITO POPOLARE ITALIANO,44
DEMOCRAZIA CRISTIANA,21
PARTITO RADICALE,10
FORZA ITALIA,94
ROSA NEL PUGNO,3
PARTITO DELLA RIFONDAZIONE COMUNISTA - SINISTRA EUROPEA,36
DEMOCRAZIA PROLETARIA,3
PARTITO DI UNITÀ PROLETARIA PER IL COMUNISMO,1
SINISTRA INDIPENDENTE,9
DEMOCRAZIA NAZIONALE - COSTITUENTE DI DESTRA,1
MOVIMENTO SOCIALE ITALIANO - DESTRA NAZIONALE,7
PARTITO SOCIALISTA ITALIANO,17
IL POPOLO DELLA LIBERTÀ,86
ALLEANZA NAZIONALE,22
L'ULIVO,134
FUTURO E LIBERTÀ PER L'ITALIA,8
POPOLO E TERRITORIO,3
PARTITO DEMOCRATICO DELLA SINISTRA,39
PARTITO REPUBBLICANO ITALIANO,3
FEDERAZIONE DEI VERDI,11
CENTRO CRISTIANO DEMOCRATICO,12
PARTITO DEI COMUNISTI ITALIANI,2
PARTITO DEMOCRATICO,197
LEGA NORD,99
NUOVO CENTRODESTRA,7
UNIONE DI CENTRO (2002),5
SINISTRA ECOLOGIA LIBERTÀ,18
PARTITO SOCIALISTA DEMOCRATICO ITALIANO,5
FRATELLI D'ITALIA,41
ITALIA DEI VALORI,3
LIBERI E UGUALI,27
POPOLARI UDEUR,8
SCELTA CIVICA,15
RINNOVAMENTO ITALIANO,4
PARTITO SOCIALISTA ITALIANO DI UNITÀ PROLETARIA,1
PARTITO NAZIONALE MONARCHICO,3
PSI-PSDI UNIFICATI,1
CORAGGIO ITALIA,13
ITALIA VIVA,23
FRONTE DELL'UOMO QUALUNQUE,2
