Persona,legislatura
Maria_Maddalena_Rossi,http://dati.camera.it/ocd/legislatura.rdf/costituente
Vittoria_Titomanlio,http://dati.camera.it/ocd/legislatura.rdf/costituente
Maria_Jervolino,http://dati.camera.it/ocd/legislatura.rdf/costituente
Romana_Bianchi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Emma_Bonino,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Emma_Bonino,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
Emma_Bonino,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
Emma_Bonino,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Luciana_Castellina,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
Paola_Cavigliasso,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Adele_Faccio,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Teresa_Mattei,http://dati.camera.it/ocd/legislatura.rdf/costituente
Angiola_Minella,http://dati.camera.it/ocd/legislatura.rdf/costituente
Margherita_Boniver,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Margherita_Boniver,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Margherita_Boniver,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Carla_Castellani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Carla_Castellani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Carla_Castellani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Edda_Fagni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Carla_Rocchi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Maria_Antonietta_Sartori,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
Maria_Grazia_Siliquini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Maria_Grazia_Siliquini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Maria_Adelaide_Aglietta,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Angela_Francese,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Mariapia_Garavaglia,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Mariapia_Garavaglia,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
Rossella_Artioli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Rossella_Artioli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
Laura_Balbo,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Flora_Calvanese,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Maria_Teresa_Capecchi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Adriana_Ceci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Vanda_Dignani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Giovanna_Filippini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Laura_Fincato,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Laura_Fincato,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
Laura_Fincato,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Bianca_Gelli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Natalia_Levi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Anna_Mainardi_Fava,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
