cognome,nome,legislatura,gruppoParlamentare
RIVA,GIUSEPPE,1,MEMBRO DEL C.D.
RIVA,GIUSEPPE,2,MEMBRO DEL C.D.
ROCCHETTI,ERCOLE,3,MEMBRO DEL C.D.
ROSSI,PAOLO,2,PRESIDENTE
SABATINI,ARMANDO,1,MEMBRO DEL C.D.
SALERNO,NICOLA,costituente,MEMBRO DEL C.D.
SCARASCIA MUGNOZZA,CARLO,3,VICESEGRETARIO
SCIAUDONE,FRANCESCO,2,MEMBRO DEL C.D.
SPADAZZI,ODO,2,SEGRETARIO
SPADAZZI,ODO,3,SEGRETARIO
SULOTTO,EGIDIO,3,SEGRETARIO
SULOTTO,EGIDIO,3,MEMBRO DEL C.D.
TOGNONI,MAURO,2,MEMBRO DEL C.D.
TOGNONI,MAURO,3,MEMBRO DEL C.D.
TOGNONI,MAURO,3,SEGRETARIO
TOSATO,EGIDIO,1,MEMBRO DEL C.D.
TOSATO,EGIDIO,2,MEMBRO DEL C.D.
GOZZI,RENATO,2,MEMBRO DEL C.D.
SCALIA,VITO,3,MEMBRO DEL C.D.
BOZZI,ALDO,costituente,SEGRETARIO
GULLO,FAUSTO,1,VICEPRESIDENTE
GULLO,FAUSTO,2,VICEPRESIDENTE
GULLO,FAUSTO,3,VICEPRESIDENTE
CARPANO MAGLIOLI,ERNESTO,costituente,MEMBRO DEL C.D.
BENVENUTI,LODOVICO SFORZA,1,MEMBRO DEL C.D.
D'ONOFRIO,EDOARDO,2,MEMBRO DEL C.D.
D'ONOFRIO,EDOARDO,3,MEMBRO DEL C.D.
TROISI,MICHELE,3,MEMBRO DEL C.D.
RODINO' DI MIGLIONE,MARIO,costituente,SEGRETARIO
DUGONI,EUGENIO,2,MEMBRO DEL C.D.
GUERRIERI,FILIPPO,1,MEMBRO DEL C.D.
AVANZINI,ENNIO,costituente,MEMBRO DEL C.D.
AVANZINI,ENNIO,1,VICEPRESIDENTE
GULLO,ROCCO,costituente,PRESIDENTE
SCOCA,SALVATORE,1,MEMBRO DEL C.D.
SCOCA,SALVATORE,2,MEMBRO DEL C.D.
MINIO,ENRICO,costituente,SEGRETARIO
GRASSI,GIUSEPPE,costituente,VICEPRESIDENTE
BUCCIARELLI DUCCI,BRUNETTO,1,MEMBRO DEL C.D.
BUCCIARELLI DUCCI,BRUNETTO,2,VICEPRESIDENTE
BUCCIARELLI DUCCI,BRUNETTO,2,MEMBRO DEL C.D.
LACONI,RENZO,1,MEMBRO DEL C.D.
LACONI,RENZO,1,SEGRETARIO
LACONI,RENZO,2,SEGRETARIO
LACONI,RENZO,2,MEMBRO DEL C.D.
LACONI,RENZO,3,MEMBRO DEL C.D.
CAFIERO,RAFFAELE,2,MEMBRO DEL C.D.
CAFIERO,RAFFAELE,3,VICEPRESIDENTE
VENDITTI,MILZIADE,costituente,VICEPRESIDENTE
CANNIZZO,BARTOLOMEO,costituente,VICEPRESIDENTE
BUSETTO,FRANCO,3,MEMBRO DEL C.D.
RUSSO PEREZ,GUIDO,1,PRESIDENTE
TREVES,PAOLO,costituente,MEMBRO DEL C.D.
TREVES,PAOLO,1,MEMBRO DEL C.D.
PETRILLI,RAFFAELE PIO,1,MEMBRO DEL C.D.
MALAGUGINI,ALCIDE,costituente,MEMBRO DEL C.D.
MALAGUGINI,ALCIDE,2,SEGRETARIO
MALAGUGINI,ALCIDE,2,MEMBRO DEL C.D.
MALAGUGINI,ALCIDE,3,MEMBRO DEL C.D.
GUIDI,ALBERTO,3,MEMBRO DEL C.D.
SIMONINI,ALBERTO,2,PRESIDENTE
VIGORELLI,EZIO,1,PRESIDENTE
VIGORELLI,EZIO,1,MEMBRO DEL C.D.
VIGORELLI,EZIO,2,PRESIDENTE
GALATI,VITO GIUSEPPE,1,MEMBRO DEL C.D.
CAIATI,ITALO GIULIO,2,VICESEGRETARIO
CAIATI,ITALO GIULIO,2,MEMBRO DEL C.D.
TAMBRONI ARMAROLI,FERDINANDO,1,MEMBRO DEL C.D.
BERNARDI,GUIDO,2,MEMBRO DEL C.D.
FORA,ALDOVINO,2,MEMBRO DEL C.D.
COPPA,EZIO,costituente,SEGRETARIO
COPPA,EZIO,1,VICEPRESIDENTE
SELVAGGI,VINCENZO,costituente,VICEPRESIDENTE
SELVAGGI,VINCENZO,2,VICEPRESIDENTE
RESTA,RAFFAELE,2,MEMBRO DEL C.D.
RODINO',UGO,costituente,MEMBRO DEL C.D.
CORSI,ANGELO,costituente,MEMBRO DEL C.D.
LEONE,RAFFAELE,3,MEMBRO DEL C.D.
NEGARVILLE,CELESTE CARLO,3,MEMBRO DEL C.D.
MAROTTA,MICHELE ENRICO,2,MEMBRO DEL C.D.
ALLEGATO,LUIGI,costituente,MEMBRO DEL C.D.
CORTESE,PASQUALE,2,MEMBRO DEL C.D.
MORELLI,LUIGI,2,MEMBRO DEL C.D.
ALICATA,MARIO,2,MEMBRO DEL C.D.
ALICATA,MARIO,3,MEMBRO DEL C.D.
MARTINO,GAETANO,2,VICEPRESIDENTE
CUCCO,ALFREDO,2,MEMBRO DEL C.D.
TONETTI,GIOVANNI,3,MEMBRO DEL C.D.
SALVATORE,ATTILIO,costituente,MEMBRO DEL C.D.
SALVATORE,ATTILIO,1,MEMBRO DEL C.D.
DEGLI OCCHI,CESARE,2,MEMBRO DEL C.D.
DEGLI OCCHI,CESARE,3,VICEPRESIDENTE
GUERRIERI,EMANUELE,1,MEMBRO DEL C.D.
ROMAGNOLI,LUCIANO,3,MEMBRO DEL C.D.
REPOSSI,CARLO,2,MEMBRO DEL C.D.
REPOSSI,CARLO,3,MEMBRO DEL C.D.
CIUFOLI,DOMENICO,1,MEMBRO DEL C.D.
BELLIARDI,CHIAFFREDO,1,MEMBRO DEL C.D.
CRUCIANI,ACHILLE,3,MEMBRO DEL C.D.
LOZZA,STELLIO,2,MEMBRO DEL C.D.
CLERICI,EDOARDO,1,MEMBRO DEL C.D.
