Persona,legislatura,graduated
Marisa_Bonfatti_Paini,legislatura10,
Natia_Mammone,legislatura10,
Elena_Donazzan,legislatura15,
Roberta_Pinto,legislatura10,
Daniela_Romani,legislatura10,
Maria_Galli,legislatura12,
Anna_Maria_De_Luca,legislatura13,
Ida_Matarazzo,legislatura02,
Patrizia_Arnaboldi,legislatura10,
Renata_Marchionni_Zanchi,legislatura02,
Francesca_Gerardi,legislatura18,
Olga_Giannini,legislatura01,
Marilena_Parenti,legislatura16,
Cristina_Bevilacqua,legislatura10,
Veronica_Giannone,legislatura18,no
Leda_Colombini,legislatura10,no
Leda_Colombini,legislatura09,no
Giuseppina_Bertone,legislatura10,no
Michela_Vittoria_Brambilla,legislatura16,no
Michela_Vittoria_Brambilla,legislatura17,no
Michela_Vittoria_Brambilla,legislatura18,no
Michela_Vittoria_Brambilla,legislatura19,no
Chiara_Colosimo,legislatura19,no
Anna_Lucia_Lisa_Pannarale,legislatura17,no
Vittoria_Titomanlio,legislatura costituente,no
Vittoria_Titomanlio,legislatura01,no
Vittoria_Titomanlio,legislatura02,no
Vittoria_Titomanlio,legislatura03,no
Vittoria_Titomanlio,legislatura04,no
Romana_Bianchi,legislatura10,no
Romana_Bianchi,legislatura07,no
Romana_Bianchi,legislatura08,no
Romana_Bianchi,legislatura09,no
Carla_Rocchi,legislatura14,no
Maria_Antonietta_Sartori,legislatura11,no
Maria_Adelaide_Aglietta,legislatura10,no
Maria_Adelaide_Aglietta,legislatura07,no
Maria_Adelaide_Aglietta,legislatura08,no
Maria_Adelaide_Aglietta,legislatura09,no
Angela_Francese,legislatura10,no
Angela_Francese,legislatura08,no
Angela_Francese,legislatura09,no
Rossella_Artioli,legislatura10,no
Rossella_Artioli,legislatura11,no
Rossella_Artioli,legislatura09,no
Maria_Teresa_Capecchi,legislatura10,no
Maria_Teresa_Capecchi,legislatura09,no
Giovanna_Filippini,legislatura10,no
Giovanna_Filippini,legislatura09,no
Natalia_Levi,legislatura10,no
Natalia_Levi,legislatura09,no
Anna_Mainardi_Fava,legislatura10,no
Anna_Mainardi_Fava,legislatura09,no
Teresa_Migliasso,legislatura10,no
Teresa_Migliasso,legislatura09,no
Rosanna_Minozzi,legislatura10,no
Rosanna_Minozzi,legislatura09,no
Nanda_Montanari_Fornari,legislatura10,no
Nanda_Montanari_Fornari,legislatura09,no
Anna_Maria_Pedrazzi,legislatura10,no
Anna_Maria_Pedrazzi,legislatura09,no
Neide_Umidi,legislatura10,no
Neide_Umidi,legislatura09,no
Roberta_Breda,legislatura10,no
Roberta_Breda,legislatura11,no
Roberta_Breda,legislatura09,no
Elena_Montecchi,legislatura10,no
Elena_Montecchi,legislatura11,no
Elena_Montecchi,legislatura12,no
Elena_Montecchi,legislatura13,no
Elena_Montecchi,legislatura14,no
Elena_Montecchi,legislatura09,no
Liliana_Albertini,legislatura10,no
Liliana_Albertini,legislatura09,no
Elisabetta_Di_Prisco,legislatura10,no
Elisabetta_Di_Prisco,legislatura11,no
Anna_Donati,legislatura10,no
Rosa_Filippini,legislatura10,no
Rosa_Filippini,legislatura11,no
Marina_Sereni,legislatura14,no
Marina_Sereni,legislatura15,no
Marina_Sereni,legislatura16,no
Marina_Sereni,legislatura17,no
Rosella_Ottone,legislatura14,no
Rosella_Ottone,legislatura15,no
Lorena_Milanato,legislatura14,no
Lorena_Milanato,legislatura15,no
Lorena_Milanato,legislatura16,no
Lorena_Milanato,legislatura17,no
Lorena_Milanato,legislatura18,no
Viviana_Beccalossi,legislatura16,no
Viviana_Beccalossi,legislatura14,no
Olga_Di_Serio,legislatura14,no
Olga_Di_Serio,legislatura15,no
Olga_Di_Serio,legislatura16,no
Margherita_Coluccini,legislatura14,no
Katia_Zanotti,legislatura14,no
Katia_Zanotti,legislatura15,no
Graziella_Mascia,legislatura14,no
Graziella_Mascia,legislatura15,no
Caterina_De_Simone,legislatura14,no
Caterina_De_Simone,legislatura15,no
Carla_Mazzuca,legislatura12,no
Carla_Mazzuca,legislatura14,no
Marilde_Provera,legislatura14,no
Marilde_Provera,legislatura15,no
Manuela_Di_Centa,legislatura15,no
Manuela_Di_Centa,legislatura16,no
Emilia_Grazia_De_Biasi,legislatura15,no
Emilia_Grazia_De_Biasi,legislatura16,no
Stefania_Gabriella_Anastasia_Craxi,legislatura15,no
Stefania_Gabriella_Anastasia_Craxi,legislatura16,no
Flavia_Perina,legislatura15,no
Flavia_Perina,legislatura16,no
Giuseppina_Fasciani,legislatura15,no
Marisa_Nicchi,legislatura15,no
Marisa_Nicchi,legislatura17,no
Maria_Emilia_Intrieri,legislatura15,no
Elisa_Tripodi,legislatura18,no
