Persona,legislatura,graduated
Marisa_Bonfatti_Paini,10,
Natia_Mammone,10,
Elena_Donazzan,15,
Roberta_Pinto,10,
Daniela_Romani,10,
Maria_Galli,12,
Anna_Maria_De_Luca,13,
Ida_Matarazzo,2,
Patrizia_Arnaboldi,10,
Renata_Marchionni_Zanchi,2,
Francesca_Gerardi,18,
Olga_Giannini,1,
Marilena_Parenti,16,
Cristina_Bevilacqua,10,
Veronica_Giannone,18,no
Leda_Colombini,10,no
Leda_Colombini,9,no
Giuseppina_Bertone,10,no
Michela_Vittoria_Brambilla,16,no
Michela_Vittoria_Brambilla,17,no
Michela_Vittoria_Brambilla,18,no
Michela_Vittoria_Brambilla,19,no
Chiara_Colosimo,19,no
Anna_Lucia_Lisa_Pannarale,17,no
Vittoria_Titomanlio,costituente,no
Vittoria_Titomanlio,1,no
Vittoria_Titomanlio,2,no
Vittoria_Titomanlio,3,no
Vittoria_Titomanlio,4,no
Romana_Bianchi,10,no
Romana_Bianchi,7,no
Romana_Bianchi,8,no
Romana_Bianchi,9,no
Carla_Rocchi,14,no
Maria_Antonietta_Sartori,11,no
Maria_Adelaide_Aglietta,10,no
Maria_Adelaide_Aglietta,7,no
Maria_Adelaide_Aglietta,8,no
Maria_Adelaide_Aglietta,9,no
Angela_Francese,10,no
Angela_Francese,8,no
Angela_Francese,9,no
Rossella_Artioli,10,no
Rossella_Artioli,11,no
Rossella_Artioli,9,no
Maria_Teresa_Capecchi,10,no
Maria_Teresa_Capecchi,9,no
Giovanna_Filippini,10,no
Giovanna_Filippini,9,no
Natalia_Levi,10,no
Natalia_Levi,9,no
Anna_Mainardi_Fava,10,no
Anna_Mainardi_Fava,9,no
Teresa_Migliasso,10,no
Teresa_Migliasso,9,no
Rosanna_Minozzi,10,no
Rosanna_Minozzi,9,no
Nanda_Montanari_Fornari,10,no
Nanda_Montanari_Fornari,9,no
Anna_Maria_Pedrazzi,10,no
Anna_Maria_Pedrazzi,9,no
Neide_Umidi,10,no
Neide_Umidi,9,no
Roberta_Breda,10,no
Roberta_Breda,11,no
Roberta_Breda,9,no
Elena_Montecchi,10,no
Elena_Montecchi,11,no
Elena_Montecchi,12,no
Elena_Montecchi,13,no
Elena_Montecchi,14,no
Elena_Montecchi,9,no
Liliana_Albertini,10,no
Liliana_Albertini,9,no
Elisabetta_Di_Prisco,10,no
Elisabetta_Di_Prisco,11,no
Anna_Donati,10,no
Rosa_Filippini,10,no
Rosa_Filippini,11,no
Marina_Sereni,14,no
Marina_Sereni,15,no
Marina_Sereni,16,no
Marina_Sereni,17,no
Rosella_Ottone,14,no
Rosella_Ottone,15,no
Lorena_Milanato,14,no
Lorena_Milanato,15,no
Lorena_Milanato,16,no
Lorena_Milanato,17,no
Lorena_Milanato,18,no
Viviana_Beccalossi,16,no
Viviana_Beccalossi,14,no
Olga_Di_Serio,14,no
Olga_Di_Serio,15,no
Olga_Di_Serio,16,no
Margherita_Coluccini,14,no
Katia_Zanotti,14,no
Katia_Zanotti,15,no
Graziella_Mascia,14,no
Graziella_Mascia,15,no
Caterina_De_Simone,14,no
Caterina_De_Simone,15,no
Carla_Mazzuca,12,no
Carla_Mazzuca,14,no
Marilde_Provera,14,no
Marilde_Provera,15,no
Manuela_Di_Centa,15,no
Manuela_Di_Centa,16,no
Emilia_Grazia_De_Biasi,15,no
Emilia_Grazia_De_Biasi,16,no
Stefania_Gabriella_Anastasia_Craxi,15,no
Stefania_Gabriella_Anastasia_Craxi,16,no
Flavia_Perina,15,no
Flavia_Perina,16,no
Giuseppina_Fasciani,15,no
Marisa_Nicchi,15,no
Marisa_Nicchi,17,no
Maria_Emilia_Intrieri,15,no
Elisa_Tripodi,18,no
Marialucia_Lorefice,18,no
Marialucia_Lorefice,17,no
Maria_Marzana,18,no
Maria_Marzana,17,no
Stella_Vecchio,1,no
Dolores_Abbiati,6,no
Dolores_Abbiati,7,no
Carla_Capponi_Bentivegna,2,no
Carla_Capponi_Bentivegna,6,no
Carmen_Casapieri,6,no
Carmen_Casapieri,7,no
Eletta_Bertani,7,no
Eletta_Bertani,8,no
Angela_Maria_Bottari,7,no
