Persona,legislatura,graduated
Domenico_Modugno,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,no
Domenico_Modugno,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,no
Stefano_Boco,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,no
Stefano_Boco,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,no
Alberto_Monaci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,no
Alberto_Monaci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,no
Renzo_Pascolat,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,no
Renzo_Pascolat,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,no
Paolo_Fontanelli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,no
Paolo_Fontanelli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17,no
Paolo_Fontanelli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,no
Paolo_Fontanelli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17,no
Giorgio_Airaudo,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17,no
Giorgio_Airaudo,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17,no
Virginio_Scotti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,no
Virginio_Scotti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,no
Ambrogio_Viviani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,no
Ambrogio_Viviani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,no
Nicola_Stumpo,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17,no
Nicola_Stumpo,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17,no
Cesare_De_Piccoli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_13,no
Cesare_De_Piccoli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,no
Cesare_De_Piccoli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_13,no
Cesare_De_Piccoli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,no
Mario_Ricci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,no
Mario_Ricci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,no
Mario_Ricci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,no
Mario_Ricci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,no
Mario_Ricci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,no
Mario_Ricci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,no
Mario_Ricci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,no
Mario_Ricci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,no
Mario_Ricci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,no
Mario_Ricci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,no
Mario_Ricci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,no
Mario_Ricci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,no
Achille_Rigamonti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,no
Achille_Rigamonti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,no
Arturo_Rognoni,http://dati.camera.it/ocd/legislatura.rdf/costituente,no
Arturo_Rognoni,http://dati.camera.it/ocd/legislatura.rdf/costituente,no
Gianfranco_Aliverti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,no
Gianfranco_Aliverti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_06,no
Gianfranco_Aliverti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,no
Gianfranco_Aliverti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,no
Gianfranco_Aliverti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,no
Gianfranco_Aliverti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_06,no
Gianfranco_Aliverti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,no
Gianfranco_Aliverti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,no
Paolo_Mario_Rossi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,no
Paolo_Mario_Rossi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,no
Paolo_Mario_Rossi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,no
Paolo_Mario_Rossi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,no
Armando_Sabatini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,no
Armando_Sabatini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,no
Armando_Sabatini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,no
Armando_Sabatini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,no
Armando_Sabatini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,no
Armando_Sabatini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,no
Armando_Sabatini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,no
Armando_Sabatini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,no
Dino_Saccenti,http://dati.camera.it/ocd/legislatura.rdf/costituente,no
Dino_Saccenti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,no
Dino_Saccenti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,no
Dino_Saccenti,http://dati.camera.it/ocd/legislatura.rdf/costituente,no
Dino_Saccenti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,no
Dino_Saccenti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,no
Raffaello_Salutari,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,no
Raffaello_Salutari,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,no
Vito_Scarongella,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,no
Vito_Scarongella,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,no
Secondo_Tranquilli,http://dati.camera.it/ocd/legislatura.rdf/costituente,no
Secondo_Tranquilli,http://dati.camera.it/ocd/legislatura.rdf/costituente,no
Giovanni_Sodano,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,no
Giovanni_Sodano,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,no
Giovanni_Sodano,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,no
Giovanni_Sodano,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,no
Giovanni_Sodano,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,no
Giovanni_Sodano,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,no
Odo_Spadazzi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,no
Odo_Spadazzi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,no
Odo_Spadazzi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,no
Odo_Spadazzi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,no
Achille_Stuani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,no
Achille_Stuani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,no
Egidio_Sulotto,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,no
Egidio_Sulotto,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,no
Egidio_Sulotto,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,no
Egidio_Sulotto,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,no
Egidio_Sulotto,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,no
Egidio_Sulotto,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,no
Paolo_Suraci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,no
Paolo_Suraci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,no
Leonildo_Tarozzi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,no
Leonildo_Tarozzi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,no
Leonildo_Tarozzi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,no
Leonildo_Tarozzi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,no
Mauro_Tognoni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,no
Mauro_Tognoni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,no
Mauro_Tognoni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,no
Mauro_Tognoni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,no
Mauro_Tognoni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,no
Mauro_Tognoni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,no
Mauro_Tognoni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,no
Mauro_Tognoni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,no
Giuseppe_Tudisco,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,no
Giuseppe_Tudisco,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,no
Giuseppe_Botta,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,no
Giuseppe_Botta,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,no
