Persona,legislatura,graduated
Domenico_Modugno,10,no
Giovanni_Donzelli,18,no
Giovanni_Donzelli,19,no
Stefano_Boco,15,no
Alberto_Monaci,10,no
Renzo_Pascolat,10,no
Paolo_Fontanelli,16,no
Paolo_Fontanelli,17,no
Giorgio_Airaudo,17,no
Virginio_Scotti,10,no
Ambrogio_Viviani,10,no
Nicola_Stumpo,17,no
Nicola_Stumpo,18,no
Nicola_Stumpo,19,no
Cesare_De_Piccoli,13,no
Cesare_De_Piccoli,15,no
Michele_Gubitosa,18,no
Michele_Gubitosa,19,no
Marco_Grimaldi,19,no
Giovanni_Vianello,18,no
Sergio_Vallotto,18,no
Alessandro_Morelli,18,no
Gianangelo_Bof,19,no
Mario_Ricci,1,no
Mario_Ricci,2,no
Mario_Ricci,15,no
Mario_Ricci,1,no
Mario_Ricci,2,no
Mario_Ricci,15,no
Achille_Rigamonti,2,no
Arturo_Rognoni,costituente,no
Gianfranco_Aliverti,6,no
Gianfranco_Aliverti,7,no
Gianfranco_Aliverti,8,no
Gianfranco_Aliverti,11,no
Paolo_Mario_Rossi,3,no
Paolo_Mario_Rossi,4,no
Armando_Sabatini,1,no
Armando_Sabatini,2,no
Armando_Sabatini,3,no
Armando_Sabatini,4,no
Dino_Saccenti,costituente,no
Dino_Saccenti,1,no
Dino_Saccenti,2,no
Raffaello_Salutari,3,no
Vito_Scarongella,3,no
Secondo_Tranquilli,costituente,no
Giovanni_Sodano,1,no
Giovanni_Sodano,2,no
Giovanni_Sodano,3,no
Odo_Spadazzi,2,no
Odo_Spadazzi,3,no
Achille_Stuani,1,no
Egidio_Sulotto,3,no
Egidio_Sulotto,4,no
Egidio_Sulotto,5,no
Paolo_Suraci,1,no
Leonildo_Tarozzi,1,no
Leonildo_Tarozzi,2,no
Mauro_Tognoni,2,no
Mauro_Tognoni,3,no
Mauro_Tognoni,4,no
Mauro_Tognoni,5,no
Giuseppe_Tudisco,1,no
Giuseppe_Botta,5,no
Giuseppe_Botta,6,no
Giuseppe_Botta,7,no
Giuseppe_Botta,8,no
Giuseppe_Botta,9,no
Giuseppe_Botta,10,no
Giuseppe_Botta,11,no
Carlo_Eugenio_Venegoni,1,no
