persona,gender,legislatura,graduated
Domenico_Modugno,male,legislatura10,no
Giovanni_Donzelli,male,legislatura18,no
Giovanni_Donzelli,male,legislatura19,no
Stefano_Boco,male,legislatura15,no
Alberto_Monaci,male,legislatura10,no
Renzo_Pascolat,male,legislatura10,no
Paolo_Fontanelli,male,legislatura16,no
Paolo_Fontanelli,male,legislatura17,no
Giorgio_Airaudo,male,legislatura17,no
Virginio_Scotti,male,legislatura10,no
Ambrogio_Viviani,male,legislatura10,no
Nicola_Stumpo,male,legislatura17,no
Nicola_Stumpo,male,legislatura18,no
Nicola_Stumpo,male,legislatura19,no
Cesare_De_Piccoli,male,legislatura13,no
Cesare_De_Piccoli,male,legislatura15,no
Michele_Gubitosa,male,legislatura18,no
Michele_Gubitosa,male,legislatura19,no
Marco_Grimaldi,male,legislatura19,no
Giovanni_Vianello,male,legislatura18,no
Sergio_Vallotto,male,legislatura18,no
Alessandro_Morelli,male,legislatura18,no
Gianangelo_Bof,male,legislatura19,no
Mario_Ricci,male,legislatura01,no
Mario_Ricci,male,legislatura02,no
Mario_Ricci,male,legislatura15,no
Mario_Ricci,male,legislatura01,no
Mario_Ricci,male,legislatura02,no
Mario_Ricci,male,legislatura15,no
Achille_Rigamonti,male,legislatura02,no
Arturo_Rognoni,male,legislatura costituente,no
Gianfranco_Aliverti,male,legislatura06,no
Gianfranco_Aliverti,male,legislatura07,no
Gianfranco_Aliverti,male,legislatura08,no
Gianfranco_Aliverti,male,legislatura11,no
Paolo_Mario_Rossi,male,legislatura03,no
Paolo_Mario_Rossi,male,legislatura04,no
Armando_Sabatini,male,legislatura01,no
Armando_Sabatini,male,legislatura02,no
Armando_Sabatini,male,legislatura03,no
Armando_Sabatini,male,legislatura04,no
Dino_Saccenti,male,legislatura costituente,no
Dino_Saccenti,male,legislatura01,no
Dino_Saccenti,male,legislatura02,no
Raffaello_Salutari,male,legislatura03,no
Vito_Scarongella,male,legislatura03,no
Secondo_Tranquilli,male,legislatura costituente,no
Giovanni_Sodano,male,legislatura01,no
Giovanni_Sodano,male,legislatura02,no
Giovanni_Sodano,male,legislatura03,no
Odo_Spadazzi,male,legislatura02,no
Odo_Spadazzi,male,legislatura03,no
Achille_Stuani,male,legislatura01,no
Egidio_Sulotto,male,legislatura03,no
Egidio_Sulotto,male,legislatura04,no
Egidio_Sulotto,male,legislatura05,no
Paolo_Suraci,male,legislatura01,no
Leonildo_Tarozzi,male,legislatura01,no
Leonildo_Tarozzi,male,legislatura02,no
Mauro_Tognoni,male,legislatura02,no
Mauro_Tognoni,male,legislatura03,no
Mauro_Tognoni,male,legislatura04,no
Mauro_Tognoni,male,legislatura05,no
Giuseppe_Tudisco,male,legislatura01,no
Giuseppe_Botta,male,legislatura05,no
Giuseppe_Botta,male,legislatura06,no
Giuseppe_Botta,male,legislatura07,no
Giuseppe_Botta,male,legislatura08,no
Giuseppe_Botta,male,legislatura09,no
Giuseppe_Botta,male,legislatura10,no
Giuseppe_Botta,male,legislatura11,no
Carlo_Eugenio_Venegoni,male,legislatura01,no
Carlo_Eugenio_Venegoni,male,legislatura02,no
Carlo_Eugenio_Venegoni,male,legislatura03,no
Vittorino_Villani,male,legislatura02,no
Vittorino_Villani,male,legislatura04,no
Felice_Vischioni,male,legislatura costituente,no
Riccardo_Walter,male,legislatura01,no
Riccardo_Walter,male,legislatura02,no
Fulvio_Zamponi,male,legislatura02,no
Domenico_Leccisi,male,legislatura02,no
Domenico_Leccisi,male,legislatura03,no
Giuseppe_Latorre,male,legislatura01,no
Mario_Angelucci,male,legislatura01,no
Mario_Angelucci,male,legislatura02,no
Mario_Angelucci,male,legislatura03,no
Ennio_De_Biagi,male,legislatura02,no
Edoardo_D'onofrio,male,legislatura costituente,no
Edoardo_D'onofrio,male,legislatura02,no
Edoardo_D'onofrio,male,legislatura03,no
Edoardo_D'onofrio,male,legislatura04,no
Carlo_Farini,male,legislatura costituente,no
Carlo_Farini,male,legislatura01,no
Carlo_Farini,male,legislatura02,no
Bortolo_Eugenio_Fina,male,legislatura01,no
Bortolo_Eugenio_Fina,male,legislatura02,no
Dante_Bernamonti,male,legislatura costituente,no
Salvatore_Angelo_Gitti,male,legislatura02,no
Salvatore_Angelo_Gitti,male,legislatura03,no
Salvatore_Angelo_Gitti,male,legislatura04,no
Salvatore_Angelo_Gitti,male,legislatura05,no
Priamo_Bigiandi,male,legislatura01,no
Priamo_Bigiandi,male,legislatura02,no
Natale_Vasco_Jacoponi,male,legislatura01,no
Natale_Vasco_Jacoponi,male,legislatura02,no
Natale_Vasco_Jacoponi,male,legislatura03,no
Luciano_Magrini,male,legislatura costituente,no
Luigi_Zappelli,male,legislatura costituente,no
Luigi_Zappelli,male,legislatura01,no
Alcide_Pirazzi_Maffiola,male,legislatura01,no
Carlo_Cibotto,male,legislatura02,no
Carlo_Cibotto,male,legislatura03,no
Luigi_Vallone,male,legislatura costituente,no
Luigi_Vallone,male,legislatura01,no
Enrico_Minio,male,legislatura costituente,no
Enrico_Minio,male,legislatura04,no
Arturo_Burato,male,legislatura costituente,no
Arturo_Burato,male,legislatura01,no
Arturo_Burato,male,legislatura02,no
Verenin_Grazia,male,legislatura costituente,no
Verenin_Grazia,male,legislatura01,no
Alessandro_Scotti,male,legislatura costituente,no
Alessandro_Scotti,male,legislatura01,no
Alessandro_Scotti,male,legislatura02,no
Giulio_Pastore,male,legislatura costituente,no
Giulio_Pastore,male,legislatura01,no
Giulio_Pastore,male,legislatura02,no
Giulio_Pastore,male,legislatura03,no
Giulio_Pastore,male,legislatura04,no
Giulio_Pastore,male,legislatura05,no
Giovanni_Gasparoli,male,legislatura01,no
