nome,cognome,legislatura,incarico
MATTEO,RESCIGNO,1,VICEPRESIDENTE
PAOLO,BONOMI,1,VICEPRESIDENTE
PAOLO,BONOMI,2,VICEPRESIDENTE
ERCOLE,ROCCHETTI,2,VICEPRESIDENTE
ERCOLE,ROCCHETTI,2,SEGRETARIO
PAOLO,ROSSI,1,PRESIDENTE
PAOLO,ROSSI,2,PRESIDENTE
PAOLO,ROSSI,2,SEGRETARIO
PAOLO,ROSSI,3,VICEPRESIDENTE
PAOLO,ROSSI,3,PRESIDENTE
ANGELO,RUBINO,2,VICEPRESIDENTE
ARMANDO,SABATINI,2,VICEPRESIDENTE
ARMANDO,SABATINI,3,VICEPRESIDENTE
DINO,SACCENTI,1,SEGRETARIO
DINO,SACCENTI,2,SEGRETARIO
MARIO,SAGGIN,1,VICEPRESIDENTE
NICOLA,SALERNO,1,VICEPRESIDENTE
UMBERTO,SAMPIETRO,2,SEGRETARIO
VITO,SANZO,2,SEGRETARIO
CARLO,SCARASCIA MUGNOZZA,2,SEGRETARIO
PASQUALE,SCHIANO,3,VICEPRESIDENTE
RAFFAELE,SCIORILLI BORRELLI,2,SEGRETARIO
RAFFAELE,SCIORILLI BORRELLI,3,SEGRETARIO
GUIDO,SECRETO,2,VICEPRESIDENTE
GUIDO,SECRETO,3,VICEPRESIDENTE
RENZO,SILVESTRI,3,SEGRETARIO
GIULIO,SPALLONE,1,SEGRETARIO
EGIDIO,SULOTTO,3,SEGRETARIO
PAOLO,SURACI,1,SEGRETARIO
LEONILDO,TAROZZI,1,SEGRETARIO
LEONILDO,TAROZZI,2,SEGRETARIO
MAURO,TOGNONI,3,SEGRETARIO
EGIDIO,TOSATO,1,PRESIDENTE
EGIDIO,TOSATO,1,VICEPRESIDENTE
EGIDIO,TOSATO,2,PRESIDENTE
ROBERTO,TREMELLONI,1,PRESIDENTE
ROBERTO,TREMELLONI,3,VICEPRESIDENTE
ROBERTO,TREMELLONI,3,PRESIDENTE
GIUSEPPE,BOTTA,10,PRESIDENTE
TULLIO,VECCHIETTI,2,SEGRETARIO
TULLIO,VECCHIETTI,3,SEGRETARIO
CARLO EUGENIO,VENEGONI,1,SEGRETARIO
CARLO EUGENIO,VENEGONI,2,SEGRETARIO
GIUSEPPE,VERONESI,3,SEGRETARIO
TOMMASO,ZERBI,Costituente,VICEPRESIDENTE
TOMMASO,ZERBI,2,PRESIDENTE
ALDO,BOZZI,Costituente,SEGRETARIO
ALDO,BOZZI,Costituente,VICEPRESIDENTE
FAUSTO,GULLO,Costituente,VICEPRESIDENTE
FAUSTO,GULLO,1,VICEPRESIDENTE
FAUSTO,GULLO,2,VICEPRESIDENTE
FRANCESCO,DE VITA,Costituente,SEGRETARIO
ERNESTO,CARPANO MAGLIOLI,1,VICEPRESIDENTE
ERNESTO,CARPANO MAGLIOLI,1,PRESIDENTE
PAOLO,CAPPA,2,PRESIDENTE
LUIGI,BATTISTI,Costituente,SEGRETARIO
EDOARDO,D'ONOFRIO,Costituente,VICEPRESIDENTE
EDOARDO,D'ONOFRIO,2,VICEPRESIDENTE
MICHELE,TROISI,1,SEGRETARIO
MICHELE,TROISI,2,SEGRETARIO
MICHELE,TROISI,2,VICEPRESIDENTE
SALVATORE ANGELO,GITTI,2,SEGRETARIO
EUGENIO,DUGONI,1,SEGRETARIO
EUGENIO,DUGONI,2,SEGRETARIO
EUGENIO,DUGONI,2,VICEPRESIDENTE
FILIPPO,GUERRIERI,1,VICEPRESIDENTE
FILIPPO,GUERRIERI,2,PRESIDENTE
FILIPPO,GUERRIERI,2,VICEPRESIDENTE
NATALE VASCO,JACOPONI,2,VICEPRESIDENTE
ENNIO,AVANZINI,1,VICEPRESIDENTE
BERNARDO,MATTARELLA,Costituente,QUESTORE
BERNARDO,MATTARELLA,1,QUESTORE
VINCENZO,LA ROCCA,1,QUESTORE
SALVATORE,SCOCA,1,PRESIDENTE
SALVATORE,SCOCA,1,RELATORE
SALVATORE,SCOCA,1,VICEPRESIDENTE
SALVATORE,SCOCA,2,PRESIDENTE
GIUSEPPE,GRASSI,Costituente,SEGRETARIO
BRUNETTO,BUCCIARELLI DUCCI,1,SEGRETARIO
BRUNETTO,BUCCIARELLI DUCCI,2,PRESIDENTE
RENZO,LACONI,Costituente,SEGRETARIO
RENZO,LACONI,1,SEGRETARIO
RENZO,LACONI,2,SEGRETARIO
CAMILLO,CORSANEGO,Costituente,VICEPRESIDENTE
CAMILLO,CORSANEGO,1,PRESIDENTE
GUIDO,RUSSO PEREZ,1,VICEPRESIDENTE
GIOVANNI,PERLINGIERI,1,VICEPRESIDENTE
PAOLO,TREVES,Costituente,SEGRETARIO
PAOLO,TREVES,1,VICEPRESIDENTE
PAOLO,TREVES,1,SEGRETARIO
PAOLO,TREVES,2,VICEPRESIDENTE
SANTO FILIPPO NERI,SEMERARO,1,SEGRETARIO
RAFFAELE PIO,PETRILLI,Costituente,SEGRETARIO
RAFFAELE PIO,PETRILLI,1,VICEPRESIDENTE
RAFFAELE PIO,PETRILLI,1,PRESIDENTE
ALCIDE,MALAGUGINI,2,VICEPRESIDENTE
CARLO,BUZZI,2,SEGRETARIO
ANGELO,PRIORE,2,SEGRETARIO
ALESSANDRO,COPPI,1,SEGRETARIO
ALESSANDRO,COPPI,1,PRESIDENTE
FRANCESCO,CHIEFFI,Costituente,SEGRETARIO
ALBERTO,SIMONINI,Costituente,PRESIDENTE
ALBERTO,SIMONINI,1,PRESIDENTE
ALBERTO,SIMONINI,1,VICEPRESIDENTE
ALBERTO,SIMONINI,2,VICEPRESIDENTE
ALBERTO,SIMONINI,2,SEGRETARIO
MARIO,BERLINGUER,2,SEGRETARIO
GIULIO,TURCHI,2,QUESTORE
EZIO,VIGORELLI,1,PRESIDENTE
VITO GIUSEPPE,GALATI,1,VICEPRESIDENTE
TARCISIO,PACATI,1,SEGRETARIO
BRUNO,MURGIA,17,CAPOGRUPPO
PINO,CABRAS,18,VICEPRESIDENTE
PINO,CABRAS,18,CAPOGRUPPO
GIORGIO,TRIZZINO,18,VICEPRESIDENTE
FRANCESCO,D'UVA,18,QUESTORE
FRANCESCO,D'UVA,18,CAPOGRUPPO
ANDREA,CECCONI,18,CAPOGRUPPO
EUGENIO,SAITTA,18,CAPOGRUPPO
MARIO,PERANTONI,18,PRESIDENTE
PAOLO,FICARA,18,VICEPRESIDENTE
ANDREA,GIARRIZZO,18,VICEPRESIDENTE
TULLIO,PATASSINI,18,CAPOGRUPPO
GIUSEPPE,ROMANATO,5,PRESIDENTE
GIANFRANCO,ALIVERTI,7,VICEPRESIDENTE
PAOLO,ROSSI,4,VICEPRESIDENTE
LUIGI,BORGHI,5,SEGRETARIO
EMILIO,SERENI,4,VICEPRESIDENTE
ADRIANO,SERONI,4,VICEPRESIDENTE
LEONARDANTONIO,SFORZA,4,SEGRETARIO
FRANCO,BORTOLANI,7,PRESIDENTE
FRANCO,BORTOLANI,8,PRESIDENTE
PRIMO,SILVESTRI,4,SEGRETARIO
PRIMO,SILVESTRI,4,VICEPRESIDENTE
PRIMO,SILVESTRI,5,VICEPRESIDENTE
GIULIO,SPALLONE,4,VICEPRESIDENTE
GIUSEPPE,SPECIALE,4,SEGRETARIO
EGIDIO,SULOTTO,4,SEGRETARIO
EGIDIO,SULOTTO,5,VICEPRESIDENTE
MAURO,TOGNONI,4,SEGRETARIO
MAURO,TOGNONI,4,VICEPRESIDENTE
MAURO,TOGNONI,5,SEGRETARIO
MAURO,TOGNONI,5,QUESTORE
ROBERTO,TREMELLONI,4,PRESIDENTE
ROBERTO,TREMELLONI,5,PRESIDENTE
MARIANO,TROMBETTA,4,SEGRETARIO
EMANUELE,TUCCARI,5,SEGRETARIO
GIUSEPPE,BOTTA,7,VICEPRESIDENTE
GIUSEPPE,BOTTA,8,PRESIDENTE
GIUSEPPE,BOTTA,8,VICEPRESIDENTE
GIUSEPPE,BOTTA,9,PRESIDENTE
FRANCO,ZAPPA,4,PRESIDENTE
FRANCO,ZAPPA,5,VICEPRESIDENTE
CARLO,BOTTARI,6,SEGRETARIO
GIUSEPPE,AVOLIO,3,SEGRETARIO
GIUSEPPE,AVOLIO,4,SEGRETARIO
CARLO,SANNA,5,VICEPRESIDENTE
ELISEO,MILANI,5,SEGRETARIO
VITTORIO,CECATI,5,SEGRETARIO
ALESSANDRO,FERRETTI,6,VICEPRESIDENTE
SPARTACO,BERAGNOLI,4,SEGRETARIO
ALDO,BOZZI,3,VICEPRESIDENTE
ALDO,BOZZI,3,PRESIDENTE
ALDO,BOZZI,4,QUESTORE
ALDO,BOZZI,5,PRESIDENTE
ALDO,BOZZI,7,PRESIDENTE
ALDO,BOZZI,9,PRESIDENTE
LUCIANO,DE PASCALIS,4,SEGRETARIO
CASIMIRO,VIZZINI,4,SEGRETARIO
ARMANDO,CASCIO,6,SEGRETARIO
UGO,MARCHESI,4,VICEPRESIDENTE
LUCIO MARIANO,BRANDI,4,VICEPRESIDENTE
LUCIO MARIANO,BRANDI,5,VICEPRESIDENTE
FAUSTO,GULLO,4,VICEPRESIDENTE
FAUSTO,GULLO,5,VICEPRESIDENTE
MARIO,ANGELUCCI,3,SEGRETARIO
FRANCESCO,DE VITA,3,SEGRETARIO
PIERGIORGIO,BRESSANI,5,SEGRETARIO
PIERGIORGIO,BRESSANI,9,VICEPRESIDENTE
