Governo,Ministro,Legislatura
IV Governo Berlusconi,Ministro dell'Ambiente e della tutela del territorio e del mare,legislatura 16
IV Governo Berlusconi,"Ministro dell'istruzione, dell'università e della ricerca",legislatura 16
IV Governo Berlusconi,Ministro senza portafoglio per le pari opportunità,legislatura 16
IV Governo Berlusconi,Ministro senza portafoglio,legislatura 16
IV Governo Berlusconi,Ministro senza portafoglio per le politiche per i giovani,legislatura 16
IV Governo Berlusconi,Ministro senza portafoglio,legislatura 16
IV Governo Berlusconi,Ministro senza portafoglio della gioventù,legislatura 16
IV Governo Berlusconi,Ministro senza portafoglio,legislatura 16
IV Governo Berlusconi,Ministro senza portafoglio per il Turismo,legislatura 16
IV Governo Berlusconi,Ministro senza portafoglio per le politiche europee,legislatura 16
IV Governo Berlusconi,Vice Ministro dello Sviluppo economico,legislatura 16
I Governo Monti,Ministro dell'Interno,legislatura 16
I Governo Monti,Ministro della Giustizia,legislatura 16
I Governo Monti,Ministro del Lavoro e delle politiche sociali,legislatura 16
I Governo Monti,Vice Ministro affari esteri,legislatura 16
IV Governo Berlusconi,Ministro senza portafoglio,legislatura 16
