Persona,graduated
Giovanni_Battista_Bruni,
Guido_D'Angelo,
Giacomo_Antonio_Schettini,
Giuseppe_Sales,
Carlo_Petrone,
Filippo_Di_Filippo,
Giovanni_Mantovani,
Gaetano_Zanotti,
Giorgio_Spadaccia,
Mario_Brancaccio,
Alessandro_Costa,
Paolo_Martuscelli,
Massimo_Tedeschi,
Franco_Ricci,
Alberto_Volponi,
Alberto_Sinatra,
Salvatore_Margiotta,
Paolo_Franzini_Tibaldeo,
Giovanni_Battista_Melis,
Aldo_Gregorelli,
Domenico_Pettini,
Arnaldo_Brunetto,
Giuseppe_Lucenti,
Giovanni_Vernetti,
Andrea_Mitolo,
Massimo_Pacetti,
Siro_Castrucci,
Giovanni_Piccirillo,
Francesco_Spina,
Diego_Senter,
Mario_De_Cristofaro,
Antonio_Miceli,
Luciano_Donner,
Mauro_Malaguti,
Pietro_Paolo_Menzietti,
Erasmo_Palazzotto,
Giovanni_Gei,
Antonio_Mastrogiacomo,
Giuseppe_Paolin,
Alfio_Paolo_Giuseppe_Speranza,
Claudio_D'Amico,
Ugo_Crescenzi,
Onelio_Prandini,
Massimiliano_De_Seneen,
Eugenio_Melandri,
Mario_Frasson,
Riccardo_Gallo,
Leone_Zappia,
Filippo_Amedeo,
Antonio_Quattrocchi,
Giulio_Spallone,
Ottavio_Lavaggi,
Antonio_Pavan,
Italo_Bargagna,
Bruno_Antonucci,
Giovanni_Battista_Loi,
Luigi_Zuppante,
Salvatore_Civita,
Giovanni_Giavi,
Gian_Stefano_Milani,
Lorenzo_Dellai,
Stefano_Boco,no
Alberto_Monaci,no
Renzo_Pascolat,no
Paolo_Fontanelli,no
Giorgio_Airaudo,no
Virginio_Scotti,no
Ambrogio_Viviani,no
Cesare_De_Piccoli,no
Michele_Gubitosa,no
Marco_Grimaldi,no
Giovanni_Vianello,no
Sergio_Vallotto,no
Alessandro_Morelli,no
Gianangelo_Bof,no
Domenico_Modugno,no
Nicola_Stumpo,no
Giovanni_Donzelli,no
Mario_Ricci,no
Achille_Rigamonti,no
Arturo_Rognoni,no
Gianfranco_Aliverti,no
Paolo_Mario_Rossi,no
Armando_Sabatini,no
Dino_Saccenti,no
Raffaello_Salutari,no
Vito_Scarongella,no
Secondo_Tranquilli,no
Giovanni_Sodano,no
Odo_Spadazzi,no
Achille_Stuani,no
Egidio_Sulotto,no
Paolo_Suraci,no
Leonildo_Tarozzi,no
Mauro_Tognoni,no
Giuseppe_Tudisco,no
Giuseppe_Botta,no
Carlo_Eugenio_Venegoni,no
Vittorino_Villani,no
Felice_Vischioni,no
Riccardo_Walter,no
Fulvio_Zamponi,no
Domenico_Leccisi,no
Giuseppe_Latorre,no
Mario_Angelucci,no
Ennio_De_Biagi,no
Edoardo_D'onofrio,no
Carlo_Farini,no
Bortolo_Eugenio_Fina,no
Dante_Bernamonti,no
Salvatore_Angelo_Gitti,no
Priamo_Bigiandi,no
Natale_Vasco_Jacoponi,no
Luciano_Magrini,no
Luigi_Zappelli,no
Alcide_Pirazzi_Maffiola,no
Carlo_Cibotto,no
Luigi_Vallone,no
Enrico_Minio,no
Arturo_Burato,no
Verenin_Grazia,no
Alessandro_Scotti,no
Giulio_Pastore,no
Giovanni_Gasparoli,no
Pietro_Buffone,no
Gaetano_Invernizzi,no
Luciano_Cadeddu,no
Andrea_Giarrizzo,no
Bernardo_Marino,no
Luigi_Borghi,no
Giuseppe_Sacchi,no
Carlo_Borra,no
Giovanni_Bortot,no
Elvo_Tempia_Valenta,no
Pietro_Valeggiani,no
Carlo_Bottari,no
Giuseppe_Avolio,no
Oddino_Bo,no
Angelo_Cucchi,no
Eliseo_Milani,no
Vittorio_Cecati,no
Spartaco_Beragnoli,no
Alfonso_Cerreti,no
Archimede_Taverna,no
Federico_Brini,no
Pietro_Ludovico_Vergani,no
Pietro_Bruschi,no
Aldo_Arzilli,no
Giuseppe_Antonio_Bottaro,no
Giulio_Perugi,no
Filippo_Barattolo,no
Pietro_Pressinotti,no
Matteo_Tonengo,no
Giuseppe_Babbi,no
Cesare_Curcio,no
Santo_Filippo_Neri_Semeraro,no
Angelo_Priore,no
Olindo_Cremaschi,no
Alberto_Simonini,no
Giulio_Turchi,no
Vincenzo_Tieri,no
Piero_Malvestiti,no
Renato_Tega,no
Ezio_Villani,no
Arnaldo_Azzi,no
Umberto_Sannicolo',no
Oreste_Bonomelli,no
Aldovino_Fora,no
Alfredo_Cotani,no
Antonio_Di_Donato,no
Bruto_Puccetti,no
Fiorenzo_Cimenti,no
Fernando_Santi,no
Giuseppe_Ricci,no
Alberto_Consiglio,no
Quinto_Bucci,no
Guido_Mazzali,no
Emilio_Zannerini,no
Pietro_Reali,no
Otello_Magnani,no
Celeste_Carlo_Negarville,no
Vittorio_Ghidetti,no
Luigi_Allegato,no
Luigi_Morelli,no
Antonio_Luigi_Lombardini,no
Federico_Torretta,no
Michele_Sala,no
Francesco_Saija,no
Pietro_Mentasti,no
