Governo,Ministro,nome,cognome,legislatura
I Governo Renzi,Ministro degli Affari esteri e della cooperazione internazionale,FEDERICA,MOGHERINI,legislatura 17
I Governo Renzi,Ministro della Difesa,ROBERTA,PINOTTI,legislatura 17
I Governo Renzi,Ministro della Salute,BEATRICE,LORENZIN,legislatura 17
I Governo Renzi,Ministro per la Semplificazione e la pubblica amministrazione,MARIA ANNA,MADIA,legislatura 17
I Governo Renzi,Ministro degli Affari esteri,FEDERICA,MOGHERINI,legislatura 17
I Governo Renzi,Ministro per le Riforme costituzionali e i rapporti con il Parlamento,MARIA ELENA,BOSCHI,legislatura 17
I Governo Renzi,"Ministro dell'Istruzione, dell'università e della ricerca",STEFANIA,GIANNINI,legislatura 17
I Governo Renzi,Ministro dello Sviluppo economico,FEDERICA,GUIDI,legislatura 17
I Governo Renzi,Ministro senza portafoglio per gli affari regionali,MARIA CARMELA,LANZETTA,legislatura 17
I Governo Renzi,Ministro senza portafoglio per gli affari regionali e per le autonomie,MARIA CARMELA,LANZETTA,legislatura 17
I Governo Renzi,Vice Ministro dello Sviluppo economico,TERESA,BELLANOVA,legislatura 17
III Governo Andreotti,Ministro del Lavoro e della Previdenza Sociale,TINA,ANSELMI,legislatura 07
IV Governo Andreotti,Ministro della Sanità,TINA,ANSELMI,legislatura 07
V Governo Andreotti,Ministro della Sanità,TINA,ANSELMI,legislatura 07
V Governo Fanfani,Ministro della Pubblica Istruzione,FRANCA,FALCUCCI,legislatura 08
I Governo De Mita,Ministro dei Beni culturali e ambientali,VINCENZA,BONO,legislatura 10
I Governo Craxi,Ministro della Pubblica Istruzione,FRANCA,FALCUCCI,legislatura 09
II Governo Craxi,Ministro della Pubblica istruzione,FRANCA,FALCUCCI,legislatura 09
VI Governo Fanfani,Ministro della Pubblica Istruzione,FRANCA,FALCUCCI,legislatura 09
I Governo Goria,Ministro senza Portafoglio,ROSA,JERVOLINO RUSSO,legislatura 10
I Governo De Mita,Ministro senza Portafoglio per gli Affari sociali,ROSA,JERVOLINO RUSSO,legislatura 10
I Governo Amato,Ministro del Turismo e Spettacolo,MARGHERITA,BONIVER,legislatura 11
VII Governo Andreotti,Ministro senza Portafoglio per italiani all'estero e immigrazione,MARGHERITA,BONIVER,legislatura 10
I Governo Ciampi,Ministro della Sanita',MARIAPIA,GARAVAGLIA,legislatura 11
I Governo Berlusconi,"Ministro per le Risorse agricole, Alimentari e Forestali",ADRIANA,POLI BORTONE,legislatura 12
I Governo Dini,Ministro degli Affari esteri,SUSANNA,AGNELLI,legislatura 12
I Governo Ciampi,Ministro senza Portafoglio per gli Affari sociali,FERNANDA,CONTRI,legislatura 11
VI Governo Andreotti,Ministro del Lavoro e della Previdenza sociale,ROSA,JERVOLINO RUSSO,legislatura 10
I Governo Amato,Ministro della Pubblica Istruzione,ROSA,JERVOLINO RUSSO,legislatura 11
I Governo Ciampi,Ministro della Pubblica istruzione,ROSA,JERVOLINO RUSSO,legislatura 11
VI Governo Andreotti,Ministro senza Portafoglio per gli Affari sociali,ROSA,JERVOLINO RUSSO,legislatura 10
VII Governo Andreotti,Ministro senza Portafoglio per gli Affari sociali,ROSA,JERVOLINO RUSSO,legislatura 10
I Governo D'Alema,Ministro senza portafoglio per le Pari opportunità,LAURA,BALBO,legislatura 13
