Governo,Ministro,nome,cognome,legislatura_modificata
IV Governo Fanfani,Ministro dei Trasporti,BERNARDO,MATTARELLA,legislatura 03
IV Governo Fanfani,Ministro dei Trasporti e dell'Aviazione Civile,BERNARDO,MATTARELLA,legislatura 03
I Governo Leone,Ministro dell'Agricoltura e Foreste,BERNARDO,MATTARELLA,legislatura 04
V Governo De Gasperi,Ministro di Grazia e Giustizia,GIUSEPPE,GRASSI,legislatura 01
II Governo Fanfani,Ministro senza Portafoglio,GIULIO,PASTORE,legislatura 03
II Governo Segni,Ministro senza Portafoglio,GIULIO,PASTORE,legislatura 03
I Governo Tambroni,MInistro senza Portafoglio,GIULIO,PASTORE,legislatura 03
III Governo Fanfani,Ministro senza Portafoglio,GIULIO,PASTORE,legislatura 03
IV Governo Fanfani,MInistro senza Portafoglio,GIULIO,PASTORE,legislatura 03
I Governo Leone,Ministro senza Portafoglio,GIULIO,PASTORE,legislatura 04
II Governo Fanfani,Ministro delle Poste e Telecomunicazioni,ALBERTO,SIMONINI,legislatura 03
V Governo De Gasperi,Ministro per l'Africa Italiana,ALCIDE,DE GASPERI,legislatura 01
II Governo Fanfani,Ministro dei Trasporti,ARMANDO,ANGELINI,legislatura 03
II Governo Segni,Ministro dei Trasporti,ARMANDO,ANGELINI,legislatura 03
I Governo Tambroni,Ministro senza Portafoglio,ARMANDO,ANGELINI,legislatura 03
II Governo Segni,Ministro senza Portafoglio,GIUSEPPE MARIA,BETTIOL,legislatura 03
II Governo Fanfani,Ministro di Grazia e Giustizia,GUIDO,GONELLA,legislatura 03
II Governo Segni,Ministro di Grazia e Giustizia,GUIDO,GONELLA,legislatura 03
I Governo Tambroni,Ministro di Grazia e Giustizia,GUIDO,GONELLA,legislatura 03
III Governo Fanfani,Ministro di Grazia e Giustizia,GUIDO,GONELLA,legislatura 03
V Governo De Gasperi,Ministro della Pubblica Istruzione,GUIDO,GONELLA,legislatura 01
II Governo Segni,Ministro della Marina Mercantile,ANGELO RAFFAELE,JERVOLINO,legislatura 03
I Governo Tambroni,Ministro della Marina Mercantile,ANGELO RAFFAELE,JERVOLINO,legislatura 03
III Governo Fanfani,Ministro della Marina Mercantile,ANGELO RAFFAELE,JERVOLINO,legislatura 03
IV Governo Fanfani,Ministro della Sanità,ANGELO RAFFAELE,JERVOLINO,legislatura 03
I Governo Leone,Ministro della Sanità,ANGELO RAFFAELE,JERVOLINO,legislatura 04
V Governo De Gasperi,Ministro delle Poste e Telecomunicazioni,ANGELO RAFFAELE,JERVOLINO,legislatura 01
IV Governo Fanfani,Ministro degli Affari Esteri,ATTILIO,PICCIONI,legislatura 03
I Governo Leone,Ministro degli Affari Esteri,ATTILIO,PICCIONI,legislatura 04
III Governo Fanfani,Ministro senza Portafoglio,ATTILIO,PICCIONI,legislatura 03
IV Governo Fanfani,MInistro senza Portafoglio,ATTILIO,PICCIONI,legislatura 03
V Governo De Gasperi,Ministro senza Portafoglio,ATTILIO,PICCIONI,legislatura 01
V Governo De Gasperi,Ministro della Marina Mercantile,GIUSEPPE,SARAGAT,legislatura 01
III Governo Fanfani,Ministro dell'Interno,MARIO,SCELBA,legislatura 03
V Governo De Gasperi,Ministro dell'Interno,MARIO,SCELBA,legislatura 01
II Governo Fanfani,Ministro del Tesoro,GIULIO,ANDREOTTI,legislatura 03
II Governo Segni,Ministro della Difesa,GIULIO,ANDREOTTI,legislatura 03
I Governo Tambroni,Ministro della Difesa,GIULIO,ANDREOTTI,legislatura 03
III Governo Fanfani,Ministro della Difesa,GIULIO,ANDREOTTI,legislatura 03
IV Governo Fanfani,Ministro della Difesa,GIULIO,ANDREOTTI,legislatura 03
I Governo Leone,Ministro della Difesa,GIULIO,ANDREOTTI,legislatura 04
II Governo Fanfani,Ministro della Marina Mercantile,GIUSEPPE,SPATARO,legislatura 03
II Governo Segni,Ministro delle Poste e Telecomunicazioni,GIUSEPPE,SPATARO,legislatura 03
I Governo Tambroni,Ministro dell'Interno,GIUSEPPE,SPATARO,legislatura 03
III Governo Fanfani,Ministro dei Trasporti,GIUSEPPE,SPATARO,legislatura 03
II Governo Segni,Ministro delle Finanze,PAOLO EMILIO,TAVIANI,legislatura 03
I Governo Tambroni,Ministro del Tesoro,PAOLO EMILIO,TAVIANI,legislatura 03
III Governo Fanfani,Ministro del Tesoro,PAOLO EMILIO,TAVIANI,legislatura 03
IV Governo Fanfani,Ministro dell'Interno,PAOLO EMILIO,TAVIANI,legislatura 03
II Governo Fanfani,Ministro dei Lavori Pubblici,GIUSEPPE,TOGNI,legislatura 03
II Governo Segni,Ministro dei Lavori Pubblici,GIUSEPPE,TOGNI,legislatura 03
I Governo Tambroni,Ministro dei Lavori Pubblici,GIUSEPPE,TOGNI,legislatura 03
I Governo Leone,Ministro dell'Industria e Commercio,GIUSEPPE,TOGNI,legislatura 04
V Governo De Gasperi,Ministro senza Portafoglio,ALBERTO,GIOVANNINI,legislatura 01
IV Governo Fanfani,Ministro della Marina Mercantile,GINO,MACRELLI,legislatura 03
I Governo Tambroni,Ministro delle Poste e Telecomunicazioni,ANTONIO,MAXIA,legislatura 03
II Governo Fanfani,Ministro della Difesa,ANTONIO,SEGNI,legislatura 03
II Governo Segni,Ministro dell'Interno,ANTONIO,SEGNI,legislatura 03
I Governo Tambroni,Ministro degli Affari Esteri,ANTONIO,SEGNI,legislatura 03
III Governo Fanfani,Ministro degli Affari Esteri,ANTONIO,SEGNI,legislatura 03
IV Governo Fanfani,Ministro degli Affari Esteri,ANTONIO,SEGNI,legislatura 03
V Governo De Gasperi,Ministro dell'Agricoltura e Foreste,ANTONIO,SEGNI,legislatura 01
V Governo De Gasperi,Ministro dell'Industria e Commercio,GIOVANNI BATTISTA,BERTONE,legislatura 01
V Governo De Gasperi,Ministro del Commercio con l'Estero,GIOVANNI BATTISTA,BERTONE,legislatura 01
V Governo De Gasperi,Ministro senza Portafoglio,GIOVANNI,PORZIO,legislatura 01
V Governo De Gasperi,Ministro degli Affari Esteri,CARLO,SFORZA,legislatura 01
III Governo Fanfani,Ministro senza Portafoglio,TIZIANO,TESSITORI,legislatura 03
II Governo Segni,Ministro del Turismo e Spettacolo,UMBERTO,TUPINI,legislatura 03
I Governo Tambroni,Ministro del Turismo e Spettacolo,UMBERTO,TUPINI,legislatura 03
V Governo De Gasperi,Ministro dei Lavori Pubblici,UMBERTO,TUPINI,legislatura 01
II Governo Segni,Ministro senza Portafoglio,UMBERTO,TUPINI,legislatura 03
V Governo De Gasperi,Ministro delle Finanze,EZIO,VANONI,legislatura 01
V Governo De Gasperi,Ministro del Commercio con l'Estero,CESARE,MERZAGORA,legislatura 01
IV Governo Fanfani,Ministro del Bilancio,UGO,LA MALFA,legislatura 03
V Governo De Gasperi,Ministro dell'Industria e Commercio,IVAN MATTEO,LOMBARDO,legislatura 01
I Governo Renzi,Vice Ministro delle Politiche agricole alimentari e forestali,ANDREA,OLIVERO,legislatura 17
I Governo Renzi,Vice Ministro delle Infrastrutture e dei trasporti,RICCARDO,NENCINI,legislatura 17
I Governo Renzi,Vice Ministro dell'Economia e delle finanze,ANTONIO ENRICO,MORANDO,legislatura 17
I Governo Renzi,Vice Ministro dell'Economia e delle finanze,LUIGI,CASERO,legislatura 17
I Governo Renzi,Vice ministro della giustizia,ENRICO,COSTA,legislatura 17
I Governo Renzi,Vice ministro dello sviluppo economico,CLAUDIO,DE VINCENTI,legislatura 17
I Governo Renzi,Vice ministro dello sviluppo economico,CARLO,CALENDA,legislatura 17
I Governo Renzi,Vice ministro degli affari esteri,LAPO,PISTELLI,legislatura 17
I Governo Renzi,Vice Ministro dell'Interno,FILIPPO,BUBBICO,legislatura 17
I Governo Renzi,Vice ministro degli affari esteri,LAPO,PISTELLI,legislatura 17
I Governo Renzi,Ministro degli Affari esteri e della cooperazione internazionale,FEDERICA,MOGHERINI,legislatura 17
IV Governo Fanfani,Ministro del Tesoro,ROBERTO,TREMELLONI,legislatura 03
V Governo De Gasperi,Ministro senza Portafoglio,ROBERTO,TREMELLONI,legislatura 01
II Governo Fanfani,Ministro del Lavoro e della Previdenza Sociale,EZIO,VIGORELLI,legislatura 03
II Governo Fanfani,Ministro dell'Interno,FERDINANDO,TAMBRONI ARMAROLI,legislatura 03
II Governo Segni,Ministro del Bilancio,FERDINANDO,TAMBRONI ARMAROLI,legislatura 03
II Governo Segni,Ministro del Tesoro,FERDINANDO,TAMBRONI ARMAROLI,legislatura 03
I Governo Tambroni,Ministro del Bilancio,FERDINANDO,TAMBRONI ARMAROLI,legislatura 03
I Governo Tambroni,Ministro del Commercio con l'Estero,MARIO,MARTINELLI,legislatura 03
III Governo Fanfani,Ministro del Commercio con l'Estero,MARIO,MARTINELLI,legislatura 03
I Governo Leone,Ministro delle Finanze,MARIO,MARTINELLI,legislatura 04
III Governo Fanfani,Ministro senza Portafoglio,GIUSEPPE,CODACCI PISANELLI,legislatura 03
IV Governo Fanfani,MInistro senza Portafoglio,GIUSEPPE,CODACCI PISANELLI,legislatura 03
I Governo Leone,Ministro senza Portafoglio,GIUSEPPE,CODACCI PISANELLI,legislatura 04
II Governo Fanfani,Ministro del Commercio con l'Estero,EMILIO,COLOMBO,legislatura 03
II Governo Segni,Ministro dell'Industria e Commercio,EMILIO,COLOMBO,legislatura 03
I Governo Tambroni,Ministro dell'Industria e Commercio,EMILIO,COLOMBO,legislatura 03
III Governo Fanfani,Ministro dell'Industria e Commercio,EMILIO,COLOMBO,legislatura 03
IV Governo Fanfani,Ministro dell'Industria e Commercio,EMILIO,COLOMBO,legislatura 03
I Governo Leone,Ministro del Tesoro,EMILIO,COLOMBO,legislatura 04
I Governo Leone,Ministro del Lavoro e della Previdenza Sociale,UMBERTO,DELLE FAVE,legislatura 04
