Governo,Ministro,Legislatura
II Governo Prodi,Ministro del Commercio internazionale,legislatura 15
II Governo Prodi,Ministro senza portafoglio per le Politiche europee,legislatura 15
II Governo Prodi,Ministro senza portafoglio,legislatura 15
II Governo Prodi,Ministro per gli Affari regionali e le autonomie locali,legislatura 15
II Governo Prodi,Vice Ministro degli Affari esteri,legislatura 15
II Governo Prodi,Vice Ministro dell'Istruzione,legislatura 15
II Governo Prodi,Vice Ministro della Pubblica istruzione,legislatura 15
II Governo Prodi,Ministro della Salute,legislatura 15
II Governo Prodi,Ministro per i Diritti e le pari opportunità,legislatura 15
II Governo Prodi,Ministro delle Politiche per la famiglia,legislatura 15
II Governo Prodi,Ministro per le Politiche giovanili e le attività sportive,legislatura 15
