Governo,Ministro,nome,cognome,gender,legislatura
IV Governo Fanfani,Ministro dei Trasporti,BERNARDO,MATTARELLA,male,legislatura 03
IV Governo Fanfani,Ministro dei Trasporti e dell'Aviazione Civile,BERNARDO,MATTARELLA,male,legislatura 03
I Governo Leone,Ministro dell'Agricoltura e Foreste,BERNARDO,MATTARELLA,male,legislatura 04
V Governo De Gasperi,Ministro di Grazia e Giustizia,GIUSEPPE,GRASSI,male,legislatura 01
II Governo Fanfani,Ministro senza Portafoglio,GIULIO,PASTORE,male,legislatura 03
II Governo Segni,Ministro senza Portafoglio,GIULIO,PASTORE,male,legislatura 03
I Governo Tambroni,MInistro senza Portafoglio,GIULIO,PASTORE,male,legislatura 03
III Governo Fanfani,Ministro senza Portafoglio,GIULIO,PASTORE,male,legislatura 03
IV Governo Fanfani,MInistro senza Portafoglio,GIULIO,PASTORE,male,legislatura 03
I Governo Leone,Ministro senza Portafoglio,GIULIO,PASTORE,male,legislatura 04
II Governo Fanfani,Ministro delle Poste e Telecomunicazioni,ALBERTO,SIMONINI,male,legislatura 03
V Governo De Gasperi,Ministro per l'Africa Italiana,ALCIDE,DE GASPERI,male,legislatura 01
II Governo Fanfani,Ministro dei Trasporti,ARMANDO,ANGELINI,male,legislatura 03
II Governo Segni,Ministro dei Trasporti,ARMANDO,ANGELINI,male,legislatura 03
I Governo Tambroni,Ministro senza Portafoglio,ARMANDO,ANGELINI,male,legislatura 03
II Governo Segni,Ministro senza Portafoglio,GIUSEPPE MARIA,BETTIOL,male,legislatura 03
II Governo Fanfani,Ministro di Grazia e Giustizia,GUIDO,GONELLA,male,legislatura 03
II Governo Segni,Ministro di Grazia e Giustizia,GUIDO,GONELLA,male,legislatura 03
I Governo Tambroni,Ministro di Grazia e Giustizia,GUIDO,GONELLA,male,legislatura 03
III Governo Fanfani,Ministro di Grazia e Giustizia,GUIDO,GONELLA,male,legislatura 03
V Governo De Gasperi,Ministro della Pubblica Istruzione,GUIDO,GONELLA,male,legislatura 01
