partito,gender,Allineamento Politico
PARTITO POPOLARE ITALIANO,male,centro
FRONTE DELL'UOMO QUALUNQUE,male,destra
PARTITO SOCIALISTA ITALIANO,male,centro-sinistra
PARTITO SOCIALISTA DEMOCRATICO ITALIANO,male,centro-sinistra
PARTITO COMUNISTA ITALIANO,male,estrema sinistra
PARTITO REPUBBLICANO ITALIANO,male,centro
,male,centro
MISTO,male,
PARTITO NAZIONALE MONARCHICO,male,conservatorismo
MOVIMENTO SOCIALE ITALIANO - DESTRA NAZIONALE,male,destra
PARTITO SOCIALISTA ITALIANO DI UNITÀ PROLETARIA,male,socialismo
DEMOCRAZIA CRISTIANA,male,centro
DEMOCRAZIA NAZIONALE - COSTITUENTE DI DESTRA,male,
DEMOCRAZIA PROLETARIA,male,estrema sinistra
PARTITO DI UNITÀ PROLETARIA PER IL COMUNISMO,male,sinistra radicale
SINISTRA INDIPENDENTE,male,
PARTITO RADICALE,male,centro
PARTITO DELLA RIFONDAZIONE COMUNISTA - SINISTRA EUROPEA,male,sinistra radicale
FEDERAZIONE DEI VERDI,male,
CENTRO DEMOCRATICO,male,centro-sinistra
IL POPOLO DELLA LIBERTÀ,male,centro-destra
ITALIA VIVA,male,centro
LEGA NORD,male,destra
CENTRO CRISTIANO DEMOCRATICO,male,cristianesimo democratico
ALLEANZA NAZIONALE,male,destra
FORZA ITALIA,male,centro-destra
NUOVO CENTRODESTRA,male,centro-destra
PARTITO DEMOCRATICO DELLA SINISTRA,male,centro-sinistra
L'ULIVO,male,centro-sinistra
POPOLARI UDEUR,male,centro
UNIONE DI CENTRO (2002),male,centro
ITALIA DEI VALORI,male,centro-sinistra
ROSA NEL PUGNO,male,centro-sinistra
SINISTRA ECOLOGIA LIBERTÀ,male,sinistra
FUTURO E LIBERTÀ PER L'ITALIA,male,destra
PARTITO DEI COMUNISTI ITALIANI,male,sinistra radicale
POPOLO E TERRITORIO,male,
LIBERI E UGUALI,male,sinistra
RINNOVAMENTO ITALIANO,male,centro
CORAGGIO ITALIA,male,centro-destra
