gruppoPar,numeroDonne,numeroUomini
ARTICOLO 1-MOVIMENTO DEMOCRATICO E PROGRESSISTA,2,7
FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,1,2
FRATELLI D'ITALIA,1,4
IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,7,19
LEGA NORD E AUTONOMIE,1,9
MOVIMENTO 5 STELLE,12,23
NUOVO CENTRODESTRA,3,8
PARTITO DEMOCRATICO,16,21
PER L'ITALIA,1,12
SCELTA CIVICA PER L'ITALIA,5,24
SCELTA CIVICA VERSO CITTADINI PER L'ITALIA-MAIE,2,10
SINISTRA ECOLOGIA LIBERTA',5,7
SINISTRA ITALIANA - SINISTRA ECOLOGIA LIBERTA',1,0
ALTERNATIVA POPOLARE-CENTRISTI PER L'EUROPA-NCD,0,1
AREA POPOLARE,0,4
CIVICI E INNOVATORI,0,1
DEMOCRAZIA SOLIDALE - CENTRO DEMOCRATICO,0,1
LEGA NORD E AUTONOMIE - LEGA DEI POPOLI - NOI CON SALVINI,0,1
SCELTA CIVICA-ALA PER LA COSTITUENTE LIBERALE E POPOLARE-MAIE,0,3
