gruppoPar,numeroUomini,numeroDonne
CORAGGIO ITALIA,11,0
FORZA ITALIA - BERLUSCONI PRESIDENTE,20,0
FRATELLI D'ITALIA,6,0
INSIEME PER IL FUTURO,9,0
ITALIA VIVA,9,0
LEGA - SALVINI PREMIER,14,0
LIBERI E UGUALI,4,0
MOVIMENTO 5 STELLE,30,0
PARTITO DEMOCRATICO,19,0
CORAGGIO ITALIA,0,2
FORZA ITALIA - BERLUSCONI PRESIDENTE,0,8
FRATELLI D'ITALIA,0,1
INSIEME PER IL FUTURO,0,4
ITALIA VIVA,0,5
ITALIA VIVA-ITALIA C'E',0,1
LEGA - SALVINI PREMIER,0,2
LIBERI E UGUALI,0,3
MOVIMENTO 5 STELLE,0,20
PARTITO DEMOCRATICO,0,13
