nome,cognome,gender,start,gruppoPar
ROBERTA,LOMBARDI,female,2013,MOVIMENTO 5 STELLE
GIORGIA,MELONI,female,2013,FRATELLI D'ITALIA
NUNZIA,DE GIROLAMO,female,2013,FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE
NUNZIA,DE GIROLAMO,female,2013,NUOVO CENTRODESTRA
NUNZIA,DE GIROLAMO,female,2013,IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE
MARIA ELENA,BOSCHI,female,2018,ITALIA VIVA
MARIA ELENA,BOSCHI,female,2018,PARTITO DEMOCRATICO
LUANA,ZANELLA,female,2022,ALLEANZA VERDI E SINISTRA
IOLANDA,DI STASIO,female,2018,INSIEME PER IL FUTURO
IOLANDA,DI STASIO,female,2018,MOVIMENTO 5 STELLE
DEBORA,SERRACCHIANI,female,2018,PARTITO DEMOCRATICO
MARIASTELLA,GELMINI,female,2018,FORZA ITALIA - BERLUSCONI PRESIDENTE
CHIARA,BRAGA,female,2022,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
DEBORA,SERRACCHIANI,female,2022,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
RENATO,BRUNETTA,male,2013,IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE
LORENZO,DELLAI,male,2013,SCELTA CIVICA PER L'ITALIA
LORENZO,DELLAI,male,2013,PER L'ITALIA
ROBERTO,SPERANZA,male,2013,ARTICOLO 1-MOVIMENTO DEMOCRATICO E PROGRESSISTA
ROBERTO,SPERANZA,male,2013,PARTITO DEMOCRATICO
RICCARDO,NUTI,male,2013,MOVIMENTO 5 STELLE
FEDERICO,FORNARO,male,2018,LIBERI E UGUALI
FRANCESCO SAVERIO,ROMANO,male,2013,IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE
FRANCESCO SAVERIO,ROMANO,male,2013,SCELTA CIVICA VERSO CITTADINI PER L'ITALIA-MAIE
MAURIZIO ENZO,LUPI,male,2013,NUOVO CENTRODESTRA
MAURIZIO ENZO,LUPI,male,2013,IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE
ETTORE,ROSATO,male,2013,PARTITO DEMOCRATICO
FABIO,RAMPELLI,male,2013,FRATELLI D'ITALIA
ENRICO,COSTA,male,2013,NUOVO CENTRODESTRA
ENRICO,COSTA,male,2013,SCELTA CIVICA-ALA PER LA COSTITUENTE LIBERALE E POPOLARE-MAIE
ENRICO,COSTA,male,2013,IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE
ARTURO,SCOTTO,male,2013,ARTICOLO 1-MOVIMENTO DEMOCRATICO E PROGRESSISTA
ARTURO,SCOTTO,male,2013,SINISTRA ECOLOGIA LIBERTA'
GENNARO,MIGLIORE,male,2013,SINISTRA ECOLOGIA LIBERTA'
GENNARO,MIGLIORE,male,2013,PARTITO DEMOCRATICO
FEDERICO,D'INCA',male,2013,MOVIMENTO 5 STELLE
ANDREA,CECCONI,male,2013,MOVIMENTO 5 STELLE
NICOLA,FRATOIANNI,male,2013,SINISTRA ECOLOGIA LIBERTA'
ANDREA,COLLETTI,male,2013,MOVIMENTO 5 STELLE
GIULIO CESARE,SOTTANELLI,male,2013,SCELTA CIVICA VERSO CITTADINI PER L'ITALIA-MAIE
GIULIO CESARE,SOTTANELLI,male,2013,SCELTA CIVICA PER L'ITALIA
ALESSIO MATTIA,VILLAROSA,male,2013,MOVIMENTO 5 STELLE
FRANCESCO,LAFORGIA,male,2013,ARTICOLO 1-MOVIMENTO DEMOCRATICO E PROGRESSISTA
FRANCESCO,LAFORGIA,male,2013,PARTITO DEMOCRATICO
GIULIO,MARCON,male,2013,SINISTRA ECOLOGIA LIBERTA'
ROBERTO,OCCHIUTO,male,2018,FORZA ITALIA - BERLUSCONI PRESIDENTE
FRANCESCO,SILVESTRI,male,2018,MOVIMENTO 5 STELLE
